,season,SPECID1,SPECID2,L1_norm,valid,Household
111,2010-2011,M53302,M54791,422.8115384,FALSE,FALSE
112,2010-2011,M54375,M54791,427.7789305,FALSE,FALSE
113,2010-2011,M54374,M54791,428.1717664,FALSE,FALSE
114,2010-2011,M54053,M54791,440.1717664,FALSE,FALSE
115,2010-2011,M54580,M54791,438.2674693,FALSE,FALSE
116,2010-2011,M54310,M54791,426.1717664,FALSE,FALSE
117,2010-2011,M54181,M54791,422.3990614,FALSE,FALSE
118,2010-2011,M54724,M54791,426.9117996,FALSE,FALSE
119,2010-2011,M54726,M54791,428.7307626,FALSE,FALSE
120,2010-2011,M53671,M54791,425.6905884,FALSE,FALSE
121,2010-2011,M53672,M54791,424.2611149,FALSE,FALSE
122,2010-2011,M53769,M54375,338.8702963,FALSE,FALSE
123,2010-2011,M53302,M54375,99.03260788,FALSE,FALSE
124,2010-2011,M54053,M54375,110.3928358,FALSE,FALSE
125,2010-2011,M54310,M54375,88.39283583,FALSE,FALSE
126,2010-2011,M54181,M54375,34.62013091,FALSE,FALSE
127,2010-2011,M53671,M54375,85.91165788,FALSE,FALSE
128,2010-2011,M53672,M54375,84.48218436,FALSE,FALSE
129,2010-2011,M53769,M54374,338.4774605,FALSE,FALSE
130,2010-2011,M54369,M54374,84.12491983,FALSE,FALSE
131,2010-2011,M53302,M54374,98.63977205,FALSE,FALSE
132,2010-2011,M54375,M54374,0.392835829,TRUE,TRUE
133,2010-2011,M54053,M54374,110,FALSE,FALSE
134,2010-2011,M54310,M54374,88,FALSE,FALSE
135,2010-2011,M54181,M54374,34.22729508,FALSE,FALSE
136,2010-2011,M53671,M54374,85.51882205,FALSE,FALSE
137,2010-2011,M53672,M54374,84.08934853,FALSE,FALSE
138,2010-2011,M53769,M54053,348.4774605,FALSE,FALSE
139,2010-2011,M53302,M54053,96.63977205,FALSE,FALSE
140,2010-2011,M53671,M54053,79.51882205,FALSE,FALSE
141,2010-2011,M53672,M54053,78.08934853,FALSE,FALSE
142,2010-2011,M54585,M54580,2.030470094,FALSE,FALSE
143,2010-2011,M54586,M54580,1.29950321,FALSE,FALSE
144,2010-2011,M53769,M54580,346.5731634,FALSE,FALSE
145,2010-2011,M54369,M54580,92.22062272,FALSE,FALSE
146,2010-2011,M53302,M54580,98.73547494,FALSE,FALSE
147,2010-2011,M54375,M54580,104.4885387,FALSE,FALSE
148,2010-2011,M54374,M54580,104.0957029,FALSE,FALSE
149,2010-2011,M54053,M54580,106.0957029,FALSE,FALSE
150,2010-2011,M54310,M54580,96.09570289,FALSE,FALSE
151,2010-2011,M54181,M54580,90.32299797,FALSE,FALSE
152,2010-2011,M53671,M54580,93.61452494,FALSE,FALSE
153,2010-2011,M53672,M54580,92.18505142,FALSE,FALSE
154,2010-2011,M53769,M54310,330.4774605,FALSE,FALSE
155,2010-2011,M53302,M54310,86.63977205,FALSE,FALSE
156,2010-2011,M54053,M54310,82,FALSE,FALSE
157,2010-2011,M54181,M54310,74.22729508,FALSE,FALSE
158,2010-2011,M53671,M54310,13.51882205,FALSE,FALSE
159,2010-2011,M53672,M54310,12.08934853,FALSE,FALSE
160,2010-2011,M53769,M54181,324.7047556,FALSE,FALSE
161,2010-2011,M53302,M54181,84.86706713,FALSE,FALSE
162,2010-2011,M54053,M54181,96.22729508,FALSE,FALSE
163,2010-2011,M53671,M54181,71.74611713,FALSE,FALSE
164,2010-2011,M53672,M54181,70.3166436,FALSE,FALSE
165,2010-2011,M54585,M54724,100.6748005,FALSE,FALSE
166,2010-2011,M54586,M54724,99.94383358,FALSE,FALSE
167,2010-2011,M53769,M54724,333.2174938,FALSE,FALSE
168,2010-2011,M54369,M54724,42.8649531,FALSE,FALSE
169,2010-2011,M54659,M54724,7.003503092,FALSE,FALSE
170,2010-2011,M53302,M54724,89.37980532,FALSE,FALSE
171,2010-2011,M54375,M54724,91.1328691,FALSE,FALSE
172,2010-2011,M54374,M54724,90.74003327,FALSE,FALSE
173,2010-2011,M54053,M54724,84.74003327,FALSE,FALSE
174,2010-2011,M54580,M54724,98.83573616,FALSE,FALSE
175,2010-2011,M54310,M54724,46.74003327,FALSE,FALSE
176,2010-2011,M54181,M54724,76.96732834,FALSE,FALSE
177,2010-2011,M53671,M54724,44.25885532,FALSE,FALSE
178,2010-2011,M53672,M54724,42.82938179,FALSE,FALSE
179,2010-2011,M54585,M54726,102.4937634,FALSE,FALSE
180,2010-2011,M54586,M54726,101.7627965,FALSE,FALSE
181,2010-2011,M53769,M54726,335.0364567,FALSE,FALSE
182,2010-2011,M54369,M54726,44.68391601,FALSE,FALSE
183,2010-2011,M54659,M54726,8.822466008,FALSE,FALSE
184,2010-2011,M53302,M54726,91.19876823,FALSE,FALSE
185,2010-2011,M54375,M54726,91.83383965,FALSE,FALSE
186,2010-2011,M54374,M54726,91.44100382,FALSE,FALSE
187,2010-2011,M54053,M54726,86.55899618,FALSE,FALSE
188,2010-2011,M54580,M54726,100.6546991,FALSE,FALSE
189,2010-2011,M54310,M54726,48.55899618,FALSE,FALSE
190,2010-2011,M54181,M54726,77.66829889,FALSE,FALSE
191,2010-2011,M53671,M54726,46.07781823,FALSE,FALSE
192,2010-2011,M53672,M54726,44.64834471,FALSE,FALSE
193,2010-2011,M53302,M53671,84.1585941,FALSE,FALSE
194,2010-2011,M53302,M53672,82.72912058,FALSE,FALSE
195,2011-2012,MH0495,MH0728,26.5353397,FALSE,FALSE
196,2011-2012,MH0728,MH0922,220.5874927,FALSE,FALSE
197,2011-2012,MH0495,MH0922,226.4674575,FALSE,FALSE
198,2011-2012,MH0778,MH0922,217.169984,FALSE,FALSE
199,2011-2012,MH0728,MH1782,434.3276874,FALSE,FALSE
200,2011-2012,MH0922,MH1782,469.975949,FALSE,FALSE
201,2011-2012,MH0495,MH1782,440.2076523,FALSE,FALSE
202,2011-2012,MH1346,MH1782,431.220337,FALSE,FALSE
203,2011-2012,MH0778,MH1782,430.9101787,FALSE,FALSE
204,2011-2012,MH1205,MH1782,427.953854,FALSE,FALSE
205,2011-2012,MH0728,MH1346,93.54802442,FALSE,FALSE
206,2011-2012,MH0922,MH1346,213.4801422,FALSE,FALSE
207,2011-2012,MH0495,MH1346,99.42798922,FALSE,FALSE
208,2011-2012,MH0778,MH1346,90.13051571,FALSE,FALSE
209,2011-2012,MH1205,MH1346,7.174190923,TRUE,TRUE
210,2011-2012,MH0728,MH0778,13.23786619,FALSE,FALSE
211,2011-2012,MH0495,MH0778,23.117831,FALSE,FALSE
212,2011-2012,MH0728,MH1205,90.2815414,FALSE,FALSE
213,2011-2012,MH0922,MH1205,218.2136592,FALSE,FALSE
214,2011-2012,MH0495,MH1205,96.16150621,FALSE,FALSE
215,2011-2012,MH0778,MH1205,86.8640327,FALSE,FALSE
216,2012-2013,MH2527,MH2616,512.3675605,FALSE,FALSE
217,2012-2013,MH2516,MH2616,514.4660243,FALSE,FALSE
218,2012-2013,MH2466,MH2616,100.382019,FALSE,FALSE
219,2012-2013,MH2362,MH2616,98.96836718,FALSE,FALSE
220,2012-2013,MH2364,MH2616,98.14365029,FALSE,FALSE
221,2012-2013,MH2447,MH2616,57.90790349,FALSE,FALSE
222,2012-2013,MH2448,MH2616,116.112381,FALSE,FALSE
223,2012-2013,MH2365,MH2616,114.0658313,FALSE,FALSE
224,2012-2013,MH2436,MH2616,97.46507755,FALSE,FALSE
225,2012-2013,MH2382,MH2616,96.49551633,FALSE,FALSE
226,2012-2013,MH2530,MH2616,34,FALSE,FALSE
227,2012-2013,MH2497,MH2616,98.36614993,FALSE,FALSE
228,2012-2013,MH2516,MH2527,6.833584818,FALSE,FALSE
229,2012-2013,MH2466,MH2527,514.7495795,FALSE,FALSE
230,2012-2013,MH2362,MH2527,513.3359277,FALSE,FALSE
231,2012-2013,MH2364,MH2527,512.5112108,FALSE,FALSE
232,2012-2013,MH2447,MH2527,502.459657,FALSE,FALSE
233,2012-2013,MH2448,MH2527,504.4799415,FALSE,FALSE
234,2012-2013,MH2365,MH2527,528.6529512,FALSE,FALSE
235,2012-2013,MH2436,MH2527,511.5621729,FALSE,FALSE
236,2012-2013,MH2382,MH2527,510.8630769,FALSE,FALSE
237,2012-2013,MH2530,MH2527,512.3675605,FALSE,FALSE
238,2012-2013,MH2497,MH2527,512.7337105,FALSE,FALSE
239,2012-2013,MH2616,MH3270,39.51126441,FALSE,FALSE
240,2012-2013,MH2527,MH3270,515.8788249,FALSE,FALSE
241,2012-2013,MH3061,MH3270,1.511264412,TRUE,TRUE
242,2012-2013,MH2516,MH3270,517.9772887,FALSE,FALSE
243,2012-2013,MH2466,MH3270,107.8932834,FALSE,FALSE
244,2012-2013,MH2706,MH3270,146.996625,FALSE,FALSE
245,2012-2013,MH2362,MH3270,106.4796316,FALSE,FALSE
246,2012-2013,MH2364,MH3270,105.6549147,FALSE,FALSE
247,2012-2013,MH2447,MH3270,61.4191679,FALSE,FALSE
248,2012-2013,MH2448,MH3270,119.6236454,FALSE,FALSE
249,2012-2013,MH2863,MH3270,111.5622455,FALSE,FALSE
250,2012-2013,MH2365,MH3270,121.5770957,FALSE,FALSE
251,2012-2013,MH3208,MH3270,37.56499317,FALSE,FALSE
252,2012-2013,MH2810,MH3270,111.2288899,FALSE,FALSE
253,2012-2013,MH2436,MH3270,104.976342,FALSE,FALSE
254,2012-2013,MH2737,MH3270,147.9254755,FALSE,FALSE
255,2012-2013,MH2382,MH3270,104.0067807,FALSE,FALSE
256,2012-2013,MH2530,MH3270,37.51126441,FALSE,FALSE
257,2012-2013,MH2942,MH3270,529.5559987,FALSE,FALSE
258,2012-2013,MH2497,MH3270,105.8774143,FALSE,FALSE
259,2012-2013,MH2616,MH3061,38,FALSE,FALSE
260,2012-2013,MH2527,MH3061,514.3675605,FALSE,FALSE
261,2012-2013,MH2516,MH3061,516.4660243,FALSE,FALSE
262,2012-2013,MH2466,MH3061,106.382019,FALSE,FALSE
263,2012-2013,MH2706,MH3061,145.4853606,FALSE,FALSE
264,2012-2013,MH2362,MH3061,104.9683672,FALSE,FALSE
265,2012-2013,MH2364,MH3061,104.1436503,FALSE,FALSE
266,2012-2013,MH2447,MH3061,59.90790349,FALSE,FALSE
267,2012-2013,MH2448,MH3061,118.112381,FALSE,FALSE
268,2012-2013,MH2863,MH3061,110.0509811,FALSE,FALSE
269,2012-2013,MH2365,MH3061,120.0658313,FALSE,FALSE
270,2012-2013,MH2810,MH3061,109.7176255,FALSE,FALSE
271,2012-2013,MH2436,MH3061,103.4650775,FALSE,FALSE
272,2012-2013,MH2737,MH3061,146.4142111,FALSE,FALSE
273,2012-2013,MH2382,MH3061,102.4955163,FALSE,FALSE
274,2012-2013,MH2530,MH3061,36,FALSE,FALSE
275,2012-2013,MH2942,MH3061,528.0447343,FALSE,FALSE
276,2012-2013,MH2497,MH3061,104.3661499,FALSE,FALSE
277,2012-2013,MH2466,MH2516,516.8480433,FALSE,FALSE
278,2012-2013,MH2362,MH2516,515.4343915,FALSE,FALSE
279,2012-2013,MH2364,MH2516,514.6096746,FALSE,FALSE
280,2012-2013,MH2447,MH2516,504.5581208,FALSE,FALSE
281,2012-2013,MH2448,MH2516,506.5784053,FALSE,FALSE
282,2012-2013,MH2365,MH2516,530.751415,FALSE,FALSE
283,2012-2013,MH2436,MH2516,513.6606367,FALSE,FALSE
284,2012-2013,MH2382,MH2516,512.9615406,FALSE,FALSE
285,2012-2013,MH2497,MH2516,514.8321742,FALSE,FALSE
286,2012-2013,MH2362,MH2466,7.3503862,FALSE,FALSE
287,2012-2013,MH2364,MH2466,6.525669308,FALSE,FALSE
288,2012-2013,MH2447,MH2466,90.47411553,FALSE,FALSE
289,2012-2013,MH2448,MH2466,116.4944,FALSE,FALSE
290,2012-2013,MH2365,MH2466,50.66740971,FALSE,FALSE
291,2012-2013,MH2436,MH2466,5.847096564,FALSE,FALSE
292,2012-2013,MH2382,MH2466,4.87753535,FALSE,FALSE
293,2012-2013,MH2616,MH2706,143.4853606,FALSE,FALSE
294,2012-2013,MH2527,MH2706,528.8698796,FALSE,FALSE
295,2012-2013,MH2516,MH2706,530.9683434,FALSE,FALSE
296,2012-2013,MH2466,MH2706,143.8673796,FALSE,FALSE
297,2012-2013,MH2362,MH2706,142.4537278,FALSE,FALSE
298,2012-2013,MH2364,MH2706,141.6290109,FALSE,FALSE
299,2012-2013,MH2447,MH2706,129.5774571,FALSE,FALSE
300,2012-2013,MH2448,MH2706,131.5977416,FALSE,FALSE
301,2012-2013,MH2365,MH2706,157.7707513,FALSE,FALSE
302,2012-2013,MH2436,MH2706,140.9504381,FALSE,FALSE
303,2012-2013,MH2382,MH2706,139.9808769,FALSE,FALSE
304,2012-2013,MH2530,MH2706,141.4853606,FALSE,FALSE
305,2012-2013,MH2497,MH2706,141.8515105,FALSE,FALSE
306,2012-2013,MH2365,MH2362,49.25375788,FALSE,FALSE
307,2012-2013,MH2365,MH2364,48.42904098,FALSE,FALSE
308,2012-2013,MH2362,MH2447,89.0604637,FALSE,FALSE
309,2012-2013,MH2364,MH2447,88.2357468,FALSE,FALSE
310,2012-2013,MH2365,MH2447,104.3774872,FALSE,FALSE
311,2012-2013,MH2436,MH2447,87.55717406,FALSE,FALSE
312,2012-2013,MH2382,MH2447,86.58761285,FALSE,FALSE
313,2012-2013,MH2362,MH2448,114.9683223,FALSE,FALSE
314,2012-2013,MH2364,MH2448,114.2560313,FALSE,FALSE
315,2012-2013,MH2365,MH2448,130.3977717,FALSE,FALSE
316,2012-2013,MH2436,MH2448,113.5774585,FALSE,FALSE
317,2012-2013,MH2382,MH2448,112.6078973,FALSE,FALSE
318,2012-2013,MH2616,MH2863,104.0509811,FALSE,FALSE
319,2012-2013,MH2527,MH2863,518.4185416,FALSE,FALSE
320,2012-2013,MH2516,MH2863,520.5170054,FALSE,FALSE
321,2012-2013,MH2466,MH2863,44.43300008,FALSE,FALSE
322,2012-2013,MH2706,MH2863,147.5363416,FALSE,FALSE
323,2012-2013,MH2362,MH2863,43.01934825,FALSE,FALSE
324,2012-2013,MH2364,MH2863,42.19463136,FALSE,FALSE
325,2012-2013,MH2447,MH2863,94.14307758,FALSE,FALSE
326,2012-2013,MH2448,MH2863,120.163362,FALSE,FALSE
327,2012-2013,MH2365,MH2863,54.33637176,FALSE,FALSE
328,2012-2013,MH2810,MH2863,23.76860654,FALSE,FALSE
329,2012-2013,MH2436,MH2863,41.51605861,FALSE,FALSE
330,2012-2013,MH2737,MH2863,148.4651922,FALSE,FALSE
331,2012-2013,MH2382,MH2863,40.5464974,FALSE,FALSE
332,2012-2013,MH2530,MH2863,106.0509811,FALSE,FALSE
333,2012-2013,MH2497,MH2863,42.417131,FALSE,FALSE
334,2012-2013,MH2616,MH3208,34.05372875,FALSE,FALSE
335,2012-2013,MH2527,MH3208,508.4212893,FALSE,FALSE
336,2012-2013,MH3061,MH3208,36.05372875,FALSE,FALSE
337,2012-2013,MH2516,MH3208,510.519753,FALSE,FALSE
338,2012-2013,MH2466,MH3208,102.4357478,FALSE,FALSE
339,2012-2013,MH2706,MH3208,141.5390893,FALSE,FALSE
340,2012-2013,MH2362,MH3208,101.0220959,FALSE,FALSE
341,2012-2013,MH2364,MH3208,100.197379,FALSE,FALSE
342,2012-2013,MH2447,MH3208,55.96163224,FALSE,FALSE
343,2012-2013,MH2448,MH3208,114.1661097,FALSE,FALSE
344,2012-2013,MH2863,MH3208,106.1047098,FALSE,FALSE
345,2012-2013,MH2365,MH3208,116.11956,FALSE,FALSE
346,2012-2013,MH2810,MH3208,105.7713542,FALSE,FALSE
347,2012-2013,MH2436,MH3208,99.5188063,FALSE,FALSE
348,2012-2013,MH2737,MH3208,142.4679398,FALSE,FALSE
349,2012-2013,MH2382,MH3208,98.54924509,FALSE,FALSE
350,2012-2013,MH2530,MH3208,32.05372875,FALSE,FALSE
351,2012-2013,MH2942,MH3208,518.098463,FALSE,FALSE
352,2012-2013,MH2497,MH3208,100.4198787,FALSE,FALSE
353,2012-2013,MH2616,MH2810,103.7176255,FALSE,FALSE
354,2012-2013,MH2527,MH2810,514.085186,FALSE,FALSE
355,2012-2013,MH2516,MH2810,516.1836498,FALSE,FALSE
356,2012-2013,MH2466,MH2810,44.09964449,FALSE,FALSE
357,2012-2013,MH2706,MH2810,147.202986,FALSE,FALSE
358,2012-2013,MH2362,MH2810,42.68599265,FALSE,FALSE
359,2012-2013,MH2364,MH2810,41.86127576,FALSE,FALSE
360,2012-2013,MH2447,MH2810,93.80972198,FALSE,FALSE
361,2012-2013,MH2448,MH2810,119.8300065,FALSE,FALSE
362,2012-2013,MH2365,MH2810,54.00301616,FALSE,FALSE
363,2012-2013,MH2436,MH2810,41.18270302,FALSE,FALSE
364,2012-2013,MH2737,MH2810,148.1318366,FALSE,FALSE
365,2012-2013,MH2382,MH2810,40.2131418,FALSE,FALSE
366,2012-2013,MH2530,MH2810,105.7176255,FALSE,FALSE
367,2012-2013,MH2497,MH2810,42.0837754,FALSE,FALSE
368,2012-2013,MH2362,MH2436,4.433444731,FALSE,FALSE
369,2012-2013,MH2364,MH2436,3.608727838,FALSE,FALSE
370,2012-2013,MH2365,MH2436,47.75046824,FALSE,FALSE
371,2012-2013,MH2382,MH2436,1.96059388,FALSE,FALSE
372,2012-2013,MH2616,MH2737,144.4142111,FALSE,FALSE
373,2012-2013,MH2527,MH2737,530.7817716,FALSE,FALSE
374,2012-2013,MH2516,MH2737,532.8802354,FALSE,FALSE
375,2012-2013,MH2466,MH2737,144.7962301,FALSE,FALSE
376,2012-2013,MH2362,MH2737,143.3825783,FALSE,FALSE
377,2012-2013,MH2364,MH2737,142.5578614,FALSE,FALSE
378,2012-2013,MH2447,MH2737,130.5063076,FALSE,FALSE
379,2012-2013,MH2448,MH2737,132.5265921,FALSE,FALSE
380,2012-2013,MH2365,MH2737,158.6996018,FALSE,FALSE
381,2012-2013,MH2436,MH2737,141.8792886,FALSE,FALSE
382,2012-2013,MH2382,MH2737,140.9097274,FALSE,FALSE
383,2012-2013,MH2530,MH2737,142.4142111,FALSE,FALSE
384,2012-2013,MH2497,MH2737,142.780361,FALSE,FALSE
385,2012-2013,MH2365,MH2382,46.78090702,FALSE,FALSE
386,2012-2013,MH2466,MH2530,102.382019,FALSE,FALSE
387,2012-2013,MH2362,MH2530,100.9683672,FALSE,FALSE
388,2012-2013,MH2364,MH2530,100.1436503,FALSE,FALSE
389,2012-2013,MH2447,MH2530,55.90790349,FALSE,FALSE
390,2012-2013,MH2448,MH2530,114.112381,FALSE,FALSE
391,2012-2013,MH2365,MH2530,116.0658313,FALSE,FALSE
392,2012-2013,MH2436,MH2530,99.46507755,FALSE,FALSE
393,2012-2013,MH2382,MH2530,98.49551633,FALSE,FALSE
394,2012-2013,MH2497,MH2530,100.3661499,FALSE,FALSE
395,2012-2013,MH2616,MH2942,526.0447343,FALSE,FALSE
396,2012-2013,MH2527,MH2942,126.4122948,FALSE,FALSE
397,2012-2013,MH2516,MH2942,128.5107586,FALSE,FALSE
398,2012-2013,MH2466,MH2942,528.4267533,FALSE,FALSE
399,2012-2013,MH2706,MH2942,542.5470534,FALSE,FALSE
400,2012-2013,MH2362,MH2942,527.0131015,FALSE,FALSE
401,2012-2013,MH2364,MH2942,526.1883846,FALSE,FALSE
402,2012-2013,MH2447,MH2942,516.1368308,FALSE,FALSE
403,2012-2013,MH2448,MH2942,518.1571153,FALSE,FALSE
404,2012-2013,MH2863,MH2942,532.0957154,FALSE,FALSE
405,2012-2013,MH2365,MH2942,542.330125,FALSE,FALSE
406,2012-2013,MH2810,MH2942,531.7623598,FALSE,FALSE
407,2012-2013,MH2436,MH2942,524.9251636,FALSE,FALSE
408,2012-2013,MH2737,MH2942,544.4589454,FALSE,FALSE
409,2012-2013,MH2382,MH2942,524.5402506,FALSE,FALSE
410,2012-2013,MH2530,MH2942,522.0447343,FALSE,FALSE
411,2012-2013,MH2497,MH2942,526.4108842,FALSE,FALSE
412,2012-2013,MH2466,MH2497,14.74816895,FALSE,FALSE
413,2012-2013,MH2362,MH2497,13.33451711,FALSE,FALSE
414,2012-2013,MH2364,MH2497,12.50980022,FALSE,FALSE
415,2012-2013,MH2447,MH2497,88.45824644,FALSE,FALSE
416,2012-2013,MH2448,MH2497,114.4785309,FALSE,FALSE
417,2012-2013,MH2365,MH2497,48.65154062,FALSE,FALSE
418,2012-2013,MH2436,MH2497,11.83122748,FALSE,FALSE
419,2012-2013,MH2382,MH2497,10.86166626,FALSE,FALSE
420,2012-2013,MH2616,MH4091,111.1356111,FALSE,FALSE
421,2012-2013,MH2527,MH4091,527.4223358,FALSE,FALSE
422,2012-2013,MH3270,MH4091,118.6468755,FALSE,FALSE
423,2012-2013,MH3061,MH4091,117.1356111,FALSE,FALSE
