Project Subtype Sample Gene Syn Div MinFreq Chr Length PercentSites DivPerSite
flu-Xue-chronic H3N2 MIX1A-NW-2 5-NP Stop 0.0745175032772106 0.005 5-NP 1497 0.0338046083826779 0.00147251791049439
flu-Xue-chronic H3N2 MIX1A-NW-2 6-NA NS 4.37786965575616 0.005 6-NA 1410 0.716311647334706 0.00433452688900669
flu-Xue-chronic H3N2 MIX1A-NW-2 6-NA S 5.01227723403859 0.005 6-NA 1410 0.249883744282616 0.0142258415375075
flu-Xue-chronic H3N2 MIX1A-NW-2 6-NA Stop 0.090133485354076 0.005 6-NA 1410 0.0338046083826779 0.00189099832112483
flu-Xue-chronic H3N2 MIX1A-NW-2 7-M1 NS 0.176032562183189 0.005 7-M 759 0.716311647334706 0.000323779405599656
flu-Xue-chronic H3N2 MIX1A-NW-2 7-M1 S 0.404915221705499 0.005 7-M 759 0.249883744282616 0.00213493335518292
flu-Xue-chronic H3N2 MIX1A-NW-2 7-M1 Stop 0.0433278387958859 0.005 7-M 759 0.0338046083826779 0.00168868770678607
flu-Xue-chronic H3N2 MIX1A-NW-2 7-M2 NS 0.79048905290149 0.005 7-M 294 0.716311647334706 0.00375358726216382
flu-Xue-chronic H3N2 MIX1A-NW-2 7-M2 S 0.727211562588182 0.005 7-M 294 0.249883744282616 0.00989863795817315
flu-Xue-chronic H3N2 MIX1A-NW-2 7-M2 Stop 0.0182337733554415 0.005 7-M 294 0.0338046083826779 0.00183465036959832
flu-Xue-chronic H3N2 MIX1A-NW-2 8-NEP NS 0.0955523864177635 0.005 8-NS 426 0.716311647334706 0.000313133783880401
flu-Xue-chronic H3N2 MIX1A-NW-2 8-NEP S 1.42257414497944 0.005 8-NS 426 0.249883744282616 0.0133637181432858
flu-Xue-chronic H3N2 MIX1A-NW-2 8-NEP Stop 0.05929044516306 0.005 8-NS 426 0.0338046083826779 0.00411717382328545
flu-Xue-chronic H3N2 MIX1A-NW-2 8-NS1 NS 0.561623929203611 0.005 8-NS 693 0.716311647334706 0.00113138484245011
flu-Xue-chronic H3N2 MIX1A-NW-2 8-NS1 S 0.132842786180442 0.005 8-NS 693 0.249883744282616 0.00076712605976445
flu-Xue-chronic H3N2 MIX1A-NW-2 8-NS1 Stop 0.0374247360759711 0.005 8-NS 693 0.0338046083826779 0.00159753213379177
flu-Xue-chronic H3N2 W00A-NW-1 1-PB2 NS 0.110840413418042 0.005 1-PB2 2280 0.716311647334706 6.78674102149653e-05
flu-Xue-chronic H3N2 W00A-NW-1 1-PB2 S 0.0265073682487808 0.005 1-PB2 2280 0.249883744282616 4.6525790378972e-05
flu-Xue-chronic H3N2 W00A-NW-1 1-PB2 Stop 0 0.005 1-PB2 2280 0.0338046083826779 0
flu-Xue-chronic H3N2 W00A-NW-1 2-PB1 NS 0.0187542668568285 0.005 2-PB1 2274 0.716311647334706 1.15135067015569e-05
flu-Xue-chronic H3N2 W00A-NW-1 2-PB1 S 0.0174435113336332 0.005 2-PB1 2274 0.249883744282616 3.06976723644283e-05
flu-Xue-chronic H3N2 W00A-NW-1 2-PB1 Stop 0 0.005 2-PB1 2274 0.0338046083826779 0
flu-Xue-chronic H3N2 W00A-NW-1 3-PA NS 0.121908523991352 0.005 3-PA 2151 0.716311647334706 7.91209785321629e-05
flu-Xue-chronic H3N2 W00A-NW-1 3-PA S 0.27255408147752 0.005 3-PA 2151 0.249883744282616 0.000507077423198171
flu-Xue-chronic H3N2 W00A-NW-1 3-PA Stop 0.0103599178351344 0.005 3-PA 2151 0.0338046083826779 0.000142475434966275
flu-Xue-chronic H3N2 W00A-NW-1 4-HA NS 0.0869288484954737 0.005 4-HA 1701 0.716311647334706 7.13440238604282e-05
flu-Xue-chronic H3N2 W00A-NW-1 4-HA S 0 0.005 4-HA 1701 0.249883744282616 0
flu-Xue-chronic H3N2 W00A-NW-1 4-HA Stop 0 0.005 4-HA 1701 0.0338046083826779 0
flu-Xue-chronic H3N2 W00A-NW-1 5-NP NS 0.173799510241975 0.005 5-NP 1497 0.716311647334706 0.000162078248577661
flu-Xue-chronic H3N2 W00A-NW-1 5-NP S 0 0.005 5-NP 1497 0.249883744282616 0
flu-Xue-chronic H3N2 W00A-NW-1 5-NP Stop 0.0167224080267559 0.005 5-NP 1497 0.0338046083826779 0.000330446462147153
flu-Xue-chronic H3N2 W00A-NW-1 6-NA NS 0.0239400085978937 0.005 6-NA 1410 0.716311647334706 2.37029923570666e-05
flu-Xue-chronic H3N2 W00A-NW-1 6-NA S 0 0.005 6-NA 1410 0.249883744282616 0
flu-Xue-chronic H3N2 W00A-NW-1 6-NA Stop 0 0.005 6-NA 1410 0.0338046083826779 0
flu-Xue-chronic H3N2 W00A-NW-1 7-M1 NS 0.0649684853490521 0.005 7-M 759 0.716311647334706 0.000119497536751953
flu-Xue-chronic H3N2 W00A-NW-1 7-M1 S 0.0329726332240474 0.005 7-M 759 0.249883744282616 0.00017384966211379
flu-Xue-chronic H3N2 W00A-NW-1 7-M1 Stop 0 0.005 7-M 759 0.0338046083826779 0
flu-Xue-chronic H3N2 W00A-NW-1 7-M2 NS 0 0.005 7-M 294 0.716311647334706 0
flu-Xue-chronic H3N2 W00A-NW-1 7-M2 S 0 0.005 7-M 294 0.249883744282616 0
flu-Xue-chronic H3N2 W00A-NW-1 7-M2 Stop 0 0.005 7-M 294 0.0338046083826779 0
flu-Xue-chronic H3N2 W00A-NW-1 8-NEP NS 0.0356398756068273 0.005 8-NS 426 0.716311647334706 0.000116795085127439
flu-Xue-chronic H3N2 W00A-NW-1 8-NEP S 0 0.005 8-NS 426 0.249883744282616 0
flu-Xue-chronic H3N2 W00A-NW-1 8-NEP Stop 0 0.005 8-NS 426 0.0338046083826779 0
flu-Xue-chronic H3N2 W00A-NW-1 8-NS1 NS 0.0568868951355508 0.005 8-NS 693 0.716311647334706 0.000114597985491244
flu-Xue-chronic H3N2 W00A-NW-1 8-NS1 S 0.0563929586710229 0.005 8-NS 693 0.249883744282616 0.000325651918539256
flu-Xue-chronic H3N2 W00A-NW-1 8-NS1 Stop 0 0.005 8-NS 693 0.0338046083826779 0
flu-Xue-chronic H3N2 W00A-NW-2 1-PB2 NS 0.104362051698123 0.005 1-PB2 2280 0.716311647334706 6.39007195575741e-05
flu-Xue-chronic H3N2 W00A-NW-2 1-PB2 S 0.0246292269270026 0.005 1-PB2 2280 0.249883744282616 4.32292726477876e-05
flu-Xue-chronic H3N2 W00A-NW-2 1-PB2 Stop 0 0.005 1-PB2 2280 0.0338046083826779 0
flu-Xue-chronic H3N2 W00A-NW-2 2-PB1 NS 0.0360471544559883 0.005 2-PB1 2274 0.716311647334706 2.21298522394633e-05
flu-Xue-chronic H3N2 W00A-NW-2 2-PB1 S 0.0114694731890031 0.005 2-PB1 2274 0.249883744282616 2.0184361016222e-05
flu-Xue-chronic H3N2 W00A-NW-2 2-PB1 Stop 0 0.005 2-PB1 2274 0.0338046083826779 0
flu-Xue-chronic H3N2 W00A-NW-2 3-PA NS 0.135940705885949 0.005 3-PA 2151 0.716311647334706 8.82281346693377e-05
flu-Xue-chronic H3N2 W00A-NW-2 3-PA S 0.321125064345811 0.005 3-PA 2151 0.249883744282616 0.000597442053592036
flu-Xue-chronic H3N2 W00A-NW-2 3-PA Stop 0 0.005 3-PA 2151 0.0338046083826779 0
flu-Xue-chronic H3N2 W00A-NW-2 4-HA NS 0.0859023396961043 0.005 4-HA 1701 0.716311647334706 7.05015501644955e-05
flu-Xue-chronic H3N2 W00A-NW-2 4-HA S 0.00567887242431184 0.005 4-HA 1701 0.249883744282616 1.33604102491914e-05
flu-Xue-chronic H3N2 W00A-NW-2 4-HA Stop 0 0.005 4-HA 1701 0.0338046083826779 0
flu-Xue-chronic H3N2 W00A-NW-2 5-NP NS 0.138270784073894 0.005 5-NP 1497 0.716311647334706 0.000128945625226188
flu-Xue-chronic H3N2 W00A-NW-2 5-NP S 0.0530412055505115 0.005 5-NP 1497 0.249883744282616 0.000141792604941668
flu-Xue-chronic H3N2 W00A-NW-2 5-NP Stop 0.00886637112096264 0.005 5-NP 1497 0.0338046083826779 0.000175205685946546
flu-Xue-chronic H3N2 W00A-NW-2 6-NA NS 0.024752421342769 0.005 6-NA 1410 0.716311647334706 2.450736187113e-05
flu-Xue-chronic H3N2 W00A-NW-2 6-NA S 0.0050017912751123 0.005 6-NA 1410 0.249883744282616 1.41960802966405e-05
flu-Xue-chronic H3N2 W00A-NW-2 6-NA Stop 0 0.005 6-NA 1410 0.0338046083826779 0
flu-Xue-chronic H3N2 W00A-NW-2 7-M1 NS 0.0611761146248469 0.005 7-M 759 0.716311647334706 0.000112522170810174
flu-Xue-chronic H3N2 W00A-NW-2 7-M1 S 0.0305466382511892 0.005 7-M 759 0.249883744282616 0.000161058496681071
flu-Xue-chronic H3N2 W00A-NW-2 7-M1 Stop 0 0.005 7-M 759 0.0338046083826779 0
flu-Xue-chronic H3N2 W00A-NW-2 7-M2 NS 0 0.005 7-M 294 0.716311647334706 0
flu-Xue-chronic H3N2 W00A-NW-2 7-M2 S 0 0.005 7-M 294 0.249883744282616 0
flu-Xue-chronic H3N2 W00A-NW-2 7-M2 Stop 0 0.005 7-M 294 0.0338046083826779 0
flu-Xue-chronic H3N2 W00A-NW-2 8-NEP NS 0.0329980106913555 0.005 8-NS 426 0.716311647334706 0.000108137455647986
flu-Xue-chronic H3N2 W00A-NW-2 8-NEP S 0 0.005 8-NS 426 0.249883744282616 0
flu-Xue-chronic H3N2 W00A-NW-2 8-NEP Stop 0 0.005 8-NS 426 0.0338046083826779 0
flu-Xue-chronic H3N2 W00A-NW-2 8-NS1 NS 0.0539340377485282 0.005 8-NS 693 0.716311647334706 0.000108649488791092
flu-Xue-chronic H3N2 W00A-NW-2 8-NS1 S 0.0532966899873681 0.005 8-NS 693 0.249883744282616 0.000307771923218789
flu-Xue-chronic H3N2 W00A-NW-2 8-NS1 Stop 0 0.005 8-NS 693 0.0338046083826779 0
flu-Xue-chronic H3N2 W07A-NW-1 1-PB2 NS 0.112144312010075 0.005 1-PB2 2280 0.716311647334706 6.86657852651418e-05
flu-Xue-chronic H3N2 W07A-NW-1 1-PB2 S 0.147463510947327 0.005 1-PB2 2280 0.249883744282616 0.000258828275009841
flu-Xue-chronic H3N2 W07A-NW-1 1-PB2 Stop 0 0.005 1-PB2 2280 0.0338046083826779 0
flu-Xue-chronic H3N2 W07A-NW-1 2-PB1 NS 0.0907587707269648 0.005 2-PB1 2274 0.716311647334706 5.57180786093757e-05
flu-Xue-chronic H3N2 W07A-NW-1 2-PB1 S 0.0363359969677645 0.005 2-PB1 2274 0.249883744282616 6.39452979745318e-05
flu-Xue-chronic H3N2 W07A-NW-1 2-PB1 Stop 0 0.005 2-PB1 2274 0.0338046083826779 0
flu-Xue-chronic H3N2 W07A-NW-1 3-PA NS 0.114772715650363 0.005 3-PA 2151 0.716311647334706 7.44897015707823e-05
flu-Xue-chronic H3N2 W07A-NW-1 3-PA S 0.188481966591484 0.005 3-PA 2151 0.249883744282616 0.000350664166980807
flu-Xue-chronic H3N2 W07A-NW-1 3-PA Stop 0.00553431273898169 0.005 3-PA 2151 0.0338046083826779 7.61109911559045e-05
flu-Xue-chronic H3N2 W07A-NW-1 4-HA NS 0.520131362408449 0.005 4-HA 1701 0.716311647334706 0.000426880891355159
flu-Xue-chronic H3N2 W07A-NW-1 4-HA S 0.0419661159728965 0.005 4-HA 1701 0.249883744282616 9.87316643287656e-05
flu-Xue-chronic H3N2 W07A-NW-1 4-HA Stop 0 0.005 4-HA 1701 0.0338046083826779 0
flu-Xue-chronic H3N2 W07A-NW-1 5-NP NS 0.125682250694567 0.005 5-NP 1497 0.716311647334706 0.000117206078667961
flu-Xue-chronic H3N2 W07A-NW-1 5-NP S 0.521064326123185 0.005 5-NP 1497 0.249883744282616 0.00139293719621101
flu-Xue-chronic H3N2 W07A-NW-1 5-NP Stop 0.00582046115961495 0.005 5-NP 1497 0.0338046083826779 0.000115016377735928
flu-Xue-chronic H3N2 W07A-NW-1 6-NA NS 0.125111250081241 0.005 6-NA 1410 0.716311647334706 0.000123872595631382
flu-Xue-chronic H3N2 W07A-NW-1 6-NA S 0.0537461783945523 0.005 6-NA 1410 0.249883744282616 0.000152542363757372
flu-Xue-chronic H3N2 W07A-NW-1 6-NA Stop 0 0.005 6-NA 1410 0.0338046083826779 0
flu-Xue-chronic H3N2 W07A-NW-1 7-M1 NS 0.0668498621842642 0.005 7-M 759 0.716311647334706 0.000122957982171022
flu-Xue-chronic H3N2 W07A-NW-1 7-M1 S 0.0926245384071381 0.005 7-M 759 0.249883744282616 0.000488366961659062
flu-Xue-chronic H3N2 W07A-NW-1 7-M1 Stop 0 0.005 7-M 759 0.0338046083826779 0
flu-Xue-chronic H3N2 W07A-NW-1 7-M2 NS 0.0141780078966328 0.005 7-M 294 0.716311647334706 6.73233736107045e-05
flu-Xue-chronic H3N2 W07A-NW-1 7-M2 S 0 0.005 7-M 294 0.249883744282616 0
flu-Xue-chronic H3N2 W07A-NW-1 7-M2 Stop 0 0.005 7-M 294 0.0338046083826779 0
flu-Xue-chronic H3N2 W07A-NW-1 8-NEP NS 0.104423062447916 0.005 8-NS 426 0.716311647334706 0.000342203788880112
flu-Xue-chronic H3N2 W07A-NW-1 8-NEP S 0.154780322893875 0.005 8-NS 426 0.249883744282616 0.00145401251427243
flu-Xue-chronic H3N2 W07A-NW-1 8-NEP Stop 0 0.005 8-NS 426 0.0338046083826779 0
flu-Xue-chronic H3N2 W07A-NW-1 8-NS1 NS 0.32176431876062 0.005 8-NS 693 0.716311647334706 0.000648190460123844
flu-Xue-chronic H3N2 W07A-NW-1 8-NS1 S 0.24716835377706 0.005 8-NS 693 0.249883744282616 0.00142732090151973
flu-Xue-chronic H3N2 W07A-NW-1 8-NS1 Stop 0 0.005 8-NS 693 0.0338046083826779 0
flu-Xue-chronic H3N2 W07A-NW-2 1-PB2 NS 0.0897491065388252 0.005 1-PB2 2280 0.716311647334706 5.49532362977058e-05
flu-Xue-chronic H3N2 W07A-NW-2 1-PB2 S 0.137809779792165 0.005 1-PB2 2280 0.249883744282616 0.000241884025098473
flu-Xue-chronic H3N2 W07A-NW-2 1-PB2 Stop 0 0.005 1-PB2 2280 0.0338046083826779 0
flu-Xue-chronic H3N2 W07A-NW-2 2-PB1 NS 0.0741555471193018 0.005 2-PB1 2274 0.716311647334706 4.552512744079e-05
flu-Xue-chronic H3N2 W07A-NW-2 2-PB1 S 0.0151064064395192 0.005 2-PB1 2274 0.249883744282616 2.65847573126014e-05
flu-Xue-chronic H3N2 W07A-NW-2 2-PB1 Stop 0 0.005 2-PB1 2274 0.0338046083826779 0
flu-Xue-chronic H3N2 W07A-NW-2 3-PA NS 0.122953674619762 0.005 3-PA 2151 0.716311647334706 7.9799301406773e-05
flu-Xue-chronic H3N2 W07A-NW-2 3-PA S 0.308080361658539 0.005 3-PA 2151 0.249883744282616 0.000573172836307929
flu-Xue-chronic H3N2 W07A-NW-2 3-PA Stop 0.011508476673679 0.005 3-PA 2151 0.0338046083826779 0.000158271064112196
flu-Xue-chronic H3N2 W07A-NW-2 4-HA NS 0.511347085027529 0.005 4-HA 1701 0.716311647334706 0.000419671481522776
flu-Xue-chronic H3N2 W07A-NW-2 4-HA S 0.0247836713125041 0.005 4-HA 1701 0.249883744282616 5.83073524945922e-05
flu-Xue-chronic H3N2 W07A-NW-2 4-HA Stop 0 0.005 4-HA 1701 0.0338046083826779 0
flu-Xue-chronic H3N2 W07A-NW-2 5-NP NS 0.0846455890866139 0.005 5-NP 1497 0.716311647334706 7.89369821001335e-05
flu-Xue-chronic H3N2 W07A-NW-2 5-NP S 0.411475369033746 0.005 5-NP 1497 0.249883744282616 0.00109997809889648
flu-Xue-chronic H3N2 W07A-NW-2 5-NP Stop 0 0.005 5-NP 1497 0.0338046083826779 0
flu-Xue-chronic H3N2 W07A-NW-2 6-NA NS 0.0962276701805384 0.005 6-NA 1410 0.716311647334706 9.52749754245409e-05
flu-Xue-chronic H3N2 W07A-NW-2 6-NA S 0.0642306956172398 0.005 6-NA 1410 0.249883744282616 0.000182299512782236
flu-Xue-chronic H3N2 W07A-NW-2 6-NA Stop 0 0.005 6-NA 1410 0.0338046083826779 0
flu-Xue-chronic H3N2 W07A-NW-2 7-M1 NS 0.0601175252920888 0.005 7-M 759 0.716311647334706 0.000110575091129666
flu-Xue-chronic H3N2 W07A-NW-2 7-M1 S 0.0866675399474275 0.005 7-M 759 0.249883744282616 0.000456958424694603
flu-Xue-chronic H3N2 W07A-NW-2 7-M1 Stop 0 0.005 7-M 759 0.0338046083826779 0
flu-Xue-chronic H3N2 W07A-NW-2 7-M2 NS 0.0254089169597308 0.005 7-M 294 0.716311647334706 0.000120652634840864
flu-Xue-chronic H3N2 W07A-NW-2 7-M2 S 0 0.005 7-M 294 0.249883744282616 0
flu-Xue-chronic H3N2 W07A-NW-2 7-M2 Stop 0 0.005 7-M 294 0.0338046083826779 0
flu-Xue-chronic H3N2 W07A-NW-2 8-NEP NS 0.0495832745393693 0.005 8-NS 426 0.716311647334706 0.000162488860359924
flu-Xue-chronic H3N2 W07A-NW-2 8-NEP S 0.0250483357889913 0.005 8-NS 426 0.249883744282616 0.000235305063447006
flu-Xue-chronic H3N2 W07A-NW-2 8-NEP Stop 0 0.005 8-NS 426 0.0338046083826779 0
flu-Xue-chronic H3N2 W07A-NW-2 8-NS1 NS 0.0892659237089772 0.005 8-NS 693 0.716311647334706 0.000179825160182998
flu-Xue-chronic H3N2 W07A-NW-2 8-NS1 S 0.0520365933910964 0.005 8-NS 693 0.249883744282616 0.00030049525457449
flu-Xue-chronic H3N2 W07A-NW-2 8-NS1 Stop 0 0.005 8-NS 693 0.0338046083826779 0
flu-Xue-chronic H3N2 W14A-NW-1 1-PB2 NS 1.0068323503477 0.005 1-PB2 2280 0.716311647334706 0.000616481859202647
flu-Xue-chronic H3N2 W14A-NW-1 1-PB2 S 0.0250917195962172 0.005 1-PB2 2280 0.249883744282616 4.40410407862817e-05
flu-Xue-chronic H3N2 W14A-NW-1 1-PB2 Stop 0 0.005 1-PB2 2280 0.0338046083826779 0
flu-Xue-chronic H3N2 W14A-NW-1 2-PB1 NS 0.0123245570450755 0.005 2-PB1 2274 0.716311647334706 7.56621792872333e-06
flu-Xue-chronic H3N2 W14A-NW-1 2-PB1 S 0.0074939667217071 0.005 2-PB1 2274 0.249883744282616 1.31881322936016e-05
flu-Xue-chronic H3N2 W14A-NW-1 2-PB1 Stop 0 0.005 2-PB1 2274 0.0338046083826779 0
flu-Xue-chronic H3N2 W14A-NW-1 3-PA NS 0.0997875226350794 0.005 3-PA 2151 0.716311647334706 6.47640228729855e-05
flu-Xue-chronic H3N2 W14A-NW-1 3-PA S 0.960457521594632 0.005 3-PA 2151 0.249883744282616 0.00178689793416899
flu-Xue-chronic H3N2 W14A-NW-1 3-PA Stop 0 0.005 3-PA 2151 0.0338046083826779 0
flu-Xue-chronic H3N2 W14A-NW-1 4-HA NS 1.01260783386505 0.005 4-HA 1701 0.716311647334706 0.000831064930812771
flu-Xue-chronic H3N2 W14A-NW-1 4-HA S 0 0.005 4-HA 1701 0.249883744282616 0
flu-Xue-chronic H3N2 W14A-NW-1 4-HA Stop 0 0.005 4-HA 1701 0.0338046083826779 0
flu-Xue-chronic H3N2 W14A-NW-1 5-NP NS 0.015263914652902 0.005 5-NP 1497 0.716311647334706 1.42344966906803e-05
flu-Xue-chronic H3N2 W14A-NW-1 5-NP S 0.0170574843044787 0.005 5-NP 1497 0.249883744282616 4.55989849435149e-05
flu-Xue-chronic H3N2 W14A-NW-1 5-NP Stop 0 0.005 5-NP 1497 0.0338046083826779 0
flu-Xue-chronic H3N2 W14A-NW-1 6-NA NS 0.87038200662873 0.005 6-NA 1410 0.716311647334706 0.000861764855534102
flu-Xue-chronic H3N2 W14A-NW-1 6-NA S 0 0.005 6-NA 1410 0.249883744282616 0
flu-Xue-chronic H3N2 W14A-NW-1 6-NA Stop 0 0.005 6-NA 1410 0.0338046083826779 0
flu-Xue-chronic H3N2 W14A-NW-1 7-M1 NS 0.0598678031163315 0.005 7-M 759 0.716311647334706 0.000110115773281713
flu-Xue-chronic H3N2 W14A-NW-1 7-M1 S 0.0290775872007378 0.005 7-M 759 0.249883744282616 0.000153312860261514
flu-Xue-chronic H3N2 W14A-NW-1 7-M1 Stop 0 0.005 7-M 759 0.0338046083826779 0
flu-Xue-chronic H3N2 W14A-NW-1 7-M2 NS 0.011802869706123 0.005 7-M 294 0.716311647334706 5.6045180161911e-05
flu-Xue-chronic H3N2 W14A-NW-1 7-M2 S 0.0197591680350301 0.005 7-M 294 0.249883744282616 0.000268957289454199
flu-Xue-chronic H3N2 W14A-NW-1 7-M2 Stop 0 0.005 7-M 294 0.0338046083826779 0
flu-Xue-chronic H3N2 W14A-NW-1 8-NEP NS 0.048092653315732 0.005 8-NS 426 0.716311647334706 0.00015760396023771
flu-Xue-chronic H3N2 W14A-NW-1 8-NEP S 0 0.005 8-NS 426 0.249883744282616 0
flu-Xue-chronic H3N2 W14A-NW-1 8-NEP Stop 0 0.005 8-NS 426 0.0338046083826779 0
flu-Xue-chronic H3N2 W14A-NW-1 8-NS1 NS 0.0544649588789762 0.005 8-NS 693 0.716311647334706 0.00010971902320423
flu-Xue-chronic H3N2 W14A-NW-1 8-NS1 S 0.0619578201184407 0.005 8-NS 693 0.249883744282616 0.000357787274609657
flu-Xue-chronic H3N2 W14A-NW-1 8-NS1 Stop 0 0.005 8-NS 693 0.0338046083826779 0
flu-Xue-chronic H3N2 W14A-NW-2 1-PB2 NS 1.00497931029606 0.005 1-PB2 2280 0.716311647334706 0.000615347245703375
