MinFreq Subtype Gene Syn MeanDivPerSitePerDay SEDivPerSitePerDay
0.005 H3N2 7-M1 Stop 6.53846058891054e-06 5.51015998884141e-06
0.005 H3N2 7-M2 NS 1.65135486333316e-05 1.05643652121496e-05
0.005 H3N2 7-M2 S 4.65655155934339e-06 5.53537905172082e-06
0.005 H3N2 7-M2 Stop 0 0
0.005 H3N2 8-NEP NS 2.85199201030595e-06 3.02556984644951e-06
0.005 H3N2 8-NEP S -4.95569851597466e-06 1.57540450314871e-05
0.005 H3N2 8-NEP Stop 3.67869063204766e-06 4.87526022713115e-06
0.005 H3N2 8-NS1 NS 6.30958041870737e-07 3.30805106839881e-06
0.005 H3N2 8-NS1 S 7.08503483141325e-06 1.18493219144507e-05
0.005 H3N2 8-NS1 Stop -1.29988746196115e-06 2.64259805009455e-06
0.01 H3N2 1-PB2 NS 4.68782934073433e-06 1.93777832750222e-06
0.01 H3N2 1-PB2 S 6.43912282217309e-06 7.32732044542148e-06
0.01 H3N2 1-PB2 Stop 7.19246392625267e-07 5.66007360360001e-07
0.01 H3N2 2-PB1 NS 2.75486526751439e-06 1.85486688767539e-06
0.01 H3N2 2-PB1 S 1.30140863895058e-05 7.38029908604452e-06
0.01 H3N2 2-PB1 Stop 0 0
0.01 H3N2 3-PA NS 7.15306964991154e-06 2.24796921776762e-06
0.01 H3N2 3-PA S 2.04610806138766e-06 7.13364635950277e-06
0.01 H3N2 3-PA Stop 1.05783171584973e-06 4.29987795510262e-06
0.01 H3N2 4-HA NS 6.34396877629787e-07 2.67082158642991e-06
0.01 H3N2 4-HA S 1.03054498749448e-05 7.26644153682735e-06
0.01 H3N2 4-HA Stop 3.59654650511396e-06 4.16748888008071e-06
0.01 H3N2 4-HA-antigenic-Wiley NS 1.77615269238181e-06 7.59676613576638e-06
0.01 H3N2 4-HA-antigenic-Wiley S 9.44563268375113e-06 1.63597794175609e-05
0.01 H3N2 4-HA-antigenic-Wiley Stop 0 0
0.01 H3N2 4-HA-antigenic-Wolf NS 2.40486965063134e-06 3.5311405601539e-06
0.01 H3N2 4-HA-antigenic-Wolf S 1.17773428788079e-05 1.72391470169971e-05
0.01 H3N2 4-HA-antigenic-Wolf Stop 0 0
0.01 H3N2 4-HA-nonantigenic-Wiley NS 5.70611636582189e-07 2.80457494150353e-06
0.01 H3N2 4-HA-nonantigenic-Wiley S 1.03534843548998e-05 7.6414444054437e-06
0.01 H3N2 4-HA-nonantigenic-Wiley Stop 3.79747089087453e-06 4.40030948790644e-06
0.01 H3N2 4-HA-nonantigenic-Wolf NS 1.12956266403302e-07 3.26492989183102e-06
0.01 H3N2 4-HA-nonantigenic-Wolf S 9.87194714093035e-06 7.9901637892763e-06
0.01 H3N2 4-HA-nonantigenic-Wolf Stop 4.65580335251055e-06 5.39489998859762e-06
0.01 H3N2 5-NP NS 7.05039566327371e-06 3.0791004343016e-06
0.01 H3N2 5-NP S 1.34853097260203e-05 6.43945259469732e-06
0.01 H3N2 5-NP Stop -7.00035173686647e-08 7.99732413688028e-07
0.01 H3N2 6-NA NS 6.30836900693336e-06 4.33726671386366e-06
0.01 H3N2 6-NA S 4.8301715245314e-06 4.83629834889705e-06
0.01 H3N2 6-NA Stop 4.05518559516424e-06 2.89159984577468e-06
0.01 H3N2 6-NA-nonsurface-Bhatt NS 5.6685641384538e-07 2.68459178019304e-06
0.01 H3N2 6-NA-nonsurface-Bhatt S 5.52790354570546e-06 7.56820998525626e-06
0.01 H3N2 6-NA-nonsurface-Bhatt Stop 1.56889193004018e-06 2.6599089803281e-06
0.01 H3N2 6-NA-surface-Bhatt NS 1.2613780158271e-05 7.43345793068913e-06
0.01 H3N2 6-NA-surface-Bhatt S 4.06391225127775e-06 4.91087451214139e-06
0.01 H3N2 6-NA-surface-Bhatt Stop 6.78566881668438e-06 5.3399482216239e-06
0.01 H3N2 7-M1 NS 7.6433390118137e-06 3.23697815179297e-06
0.01 H3N2 7-M1 S -3.14040555630364e-07 1.05022894550825e-05
0.01 H3N2 7-M1 Stop 6.2698707758745e-06 5.39799141551259e-06
0.01 H3N2 7-M2 NS 1.43533660713187e-05 1.04251604880508e-05
0.01 H3N2 7-M2 S 2.45575246316452e-06 5.34608803783383e-06
0.01 H3N2 7-M2 Stop 0 0
0.01 H3N2 8-NEP NS 2.41385541403454e-06 2.9878092194408e-06
0.01 H3N2 8-NEP S -3.86655580447249e-06 1.56956125487676e-05
0.01 H3N2 8-NEP Stop 8.95558017172542e-07 4.64046098953403e-06
0.01 H3N2 8-NS1 NS -2.42381056058127e-08 3.21493683668894e-06
0.01 H3N2 8-NS1 S 6.92087491487041e-06 1.18409463832208e-05
0.01 H3N2 8-NS1 Stop -2.22272359553371e-07 2.53927827177038e-06
0.02 H3N2 1-PB2 NS 4.28513370901132e-06 1.85197439172393e-06
0.02 H3N2 1-PB2 S 5.52023266117269e-06 7.2413156361873e-06
0.02 H3N2 1-PB2 Stop 0 0
0.02 H3N2 2-PB1 NS 1.62880778559703e-06 1.8172078426653e-06
0.02 H3N2 2-PB1 S 1.00264260852784e-05 7.38786794457505e-06
0.02 H3N2 2-PB1 Stop 0 0
0.02 H3N2 3-PA NS 6.27429329375059e-06 2.15918369609188e-06
0.02 H3N2 3-PA S 1.03595854377422e-06 7.122592584232e-06
0.02 H3N2 3-PA Stop -4.48525132142671e-07 4.17260937372235e-06
0.02 H3N2 4-HA NS -6.28974434447752e-07 2.61400137709252e-06
0.02 H3N2 4-HA S 8.66740628580817e-06 7.18928219484959e-06
0.02 H3N2 4-HA Stop 2.40293928711328e-06 4.07395797415576e-06
0.02 H3N2 4-HA-antigenic-Wiley NS 1.43912696055651e-06 7.57924764784417e-06
0.02 H3N2 4-HA-antigenic-Wiley S 9.59854183063833e-06 1.62734265659177e-05
0.02 H3N2 4-HA-antigenic-Wiley Stop 0 0
0.02 H3N2 4-HA-antigenic-Wolf NS 1.09482361602042e-06 3.30343314190739e-06
0.02 H3N2 4-HA-antigenic-Wolf S 1.02535908534328e-05 1.72322689050884e-05
0.02 H3N2 4-HA-antigenic-Wolf Stop 0 0
0.02 H3N2 4-HA-nonantigenic-Wiley NS -7.44510825230126e-07 2.74074976166867e-06
0.02 H3N2 4-HA-nonantigenic-Wiley S 8.61538754028695e-06 7.55532417631263e-06
0.02 H3N2 4-HA-nonantigenic-Wiley Stop 2.53718170538776e-06 4.30155339170636e-06
0.02 H3N2 4-HA-nonantigenic-Wolf NS -1.13666838081853e-06 3.23535707236715e-06
0.02 H3N2 4-HA-nonantigenic-Wolf S 8.20024233780911e-06 7.92483360036061e-06
0.02 H3N2 4-HA-nonantigenic-Wolf Stop 3.11065428263294e-06 5.27382230900985e-06
0.02 H3N2 5-NP NS 5.67454274807804e-06 3.05148622657634e-06
0.02 H3N2 5-NP S 1.033967248768e-05 6.43734747948762e-06
0.02 H3N2 5-NP Stop 0 0
0.02 H3N2 6-NA NS 5.27101748319008e-06 4.32241685747768e-06
0.02 H3N2 6-NA S 4.16332655677499e-06 4.74122721047131e-06
0.02 H3N2 6-NA Stop 4.05518559516424e-06 2.89159984577468e-06
0.02 H3N2 6-NA-nonsurface-Bhatt NS -3.79622692857723e-07 2.63749076501906e-06
0.02 H3N2 6-NA-nonsurface-Bhatt S 4.41392651181246e-06 7.4695287816068e-06
0.02 H3N2 6-NA-nonsurface-Bhatt Stop 1.56889193004018e-06 2.6599089803281e-06
0.02 H3N2 6-NA-surface-Bhatt NS 1.14766312479568e-05 7.42549809052145e-06
0.02 H3N2 6-NA-surface-Bhatt S 3.88811410615351e-06 4.83509844102469e-06
0.02 H3N2 6-NA-surface-Bhatt Stop 6.78566881668438e-06 5.3399482216239e-06
0.02 H3N2 7-M1 NS 6.66357859349942e-06 3.21332908286837e-06
0.02 H3N2 7-M1 S -1.59868768913086e-06 1.04272156543282e-05
0.02 H3N2 7-M1 Stop 4.12954263475462e-06 5.14636321994365e-06
0.02 H3N2 7-M2 NS 1.3013450520758e-05 1.02233632696609e-05
0.02 H3N2 7-M2 S -6.36350085218186e-08 5.11534056017175e-06
0.02 H3N2 7-M2 Stop 0 0
0.02 H3N2 8-NEP NS 1.45449969592446e-06 2.89887118581802e-06
0.02 H3N2 8-NEP S -8.10896996851403e-06 1.5618931951007e-05
0.02 H3N2 8-NEP Stop -3.61583908850901e-07 4.13079775196449e-06
0.02 H3N2 8-NS1 NS -1.58799862948044e-06 3.1202085084221e-06
0.02 H3N2 8-NS1 S 5.4092002742433e-06 1.18214431872836e-05
0.02 H3N2 8-NS1 Stop -2.22272359553371e-07 2.53927827177038e-06
