MinFreq Subtype Gene Syn MeanDivPerSitePerDay SEDivPerSitePerDay
0.005 H3N2 6-NA-surface-Bhatt Stop 1.49448776577525e-06 1.24505981328274e-06
0.005 H3N2 7-M1 NS 3.97530908220626e-06 8.372155780426e-07
0.005 H3N2 7-M1 S 1.45933959208461e-05 4.55156548224217e-06
0.005 H3N2 7-M1 Stop 2.96979506125062e-06 1.59685270312542e-06
0.005 H3N2 7-M2 NS 9.85861600099262e-06 3.1630208331431e-06
0.005 H3N2 7-M2 S 6.83026582114981e-06 2.027661501132e-06
0.005 H3N2 7-M2 Stop 0 0
0.005 H3N2 8-NEP NS 6.42403716433596e-06 1.06855575176828e-06
0.005 H3N2 8-NEP S 1.8447327523903e-05 6.48529213500434e-06
0.005 H3N2 8-NEP Stop 3.73227357093124e-06 1.98878814708062e-06
0.005 H3N2 8-NS1 NS 8.11299274446361e-06 1.42011731321363e-06
0.005 H3N2 8-NS1 S 1.52364021363297e-05 4.09930025110977e-06
0.005 H3N2 8-NS1 Stop 1.6370814694199e-06 1.03315846724026e-06
0.01 H3N2 1-PB2 NS 5.2915401999048e-06 7.66286533526791e-07
0.01 H3N2 1-PB2 S 1.64149348032725e-05 2.60274843137518e-06
0.01 H3N2 1-PB2 Stop 2.41140687567989e-07 1.70560536312684e-07
0.01 H3N2 2-PB1 NS 4.31754789473142e-06 8.02448397460688e-07
0.01 H3N2 2-PB1 S 1.45451261033498e-05 2.74276486534327e-06
0.01 H3N2 2-PB1 Stop 0 0
0.01 H3N2 3-PA NS 4.93898261443407e-06 6.61473301548156e-07
0.01 H3N2 3-PA S 1.57904553836716e-05 2.97652431670528e-06
0.01 H3N2 3-PA Stop 2.23574922405152e-06 1.44575080614163e-06
0.01 H3N2 4-HA NS 7.09405320265341e-06 9.6445012152289e-07
0.01 H3N2 4-HA S 1.37443757185116e-05 2.17304082129663e-06
0.01 H3N2 4-HA Stop 1.65438348858594e-06 1.04022814514746e-06
0.01 H3N2 4-HA-antigenic-Wiley NS 6.0107803525199e-06 2.56591004619868e-06
0.01 H3N2 4-HA-antigenic-Wiley S 1.34971074589238e-05 7.86220235754178e-06
0.01 H3N2 4-HA-antigenic-Wiley Stop 0 0
0.01 H3N2 4-HA-antigenic-Wolf NS 8.15812886038625e-06 1.86224027714864e-06
0.01 H3N2 4-HA-antigenic-Wolf S 1.48514752049927e-05 4.8862207158321e-06
0.01 H3N2 4-HA-antigenic-Wolf Stop 0 0
0.01 H3N2 4-HA-nonantigenic-Wiley NS 7.15457123897372e-06 1.01291465958053e-06
0.01 H3N2 4-HA-nonantigenic-Wiley S 1.37581895877623e-05 2.25502590187999e-06
0.01 H3N2 4-HA-nonantigenic-Wiley Stop 1.74680714716616e-06 1.09834144934563e-06
0.01 H3N2 4-HA-nonantigenic-Wolf NS 6.78066105688278e-06 1.09250840644466e-06
0.01 H3N2 4-HA-nonantigenic-Wolf S 1.34183121711233e-05 2.39419655581596e-06
0.01 H3N2 4-HA-nonantigenic-Wolf Stop 2.14163342015577e-06 1.34659670844429e-06
0.01 H3N2 5-NP NS 4.49238440985292e-06 9.16464543425008e-07
0.01 H3N2 5-NP S 1.27772244967832e-05 2.20898108309457e-06
0.01 H3N2 5-NP Stop 4.50646312231293e-07 3.24771911102417e-07
0.01 H3N2 6-NA NS 8.47776914713337e-06 1.67432932432731e-06
0.01 H3N2 6-NA S 9.49106817943891e-06 1.86716150836977e-06
0.01 H3N2 6-NA Stop 1.13643273037016e-06 7.12242505677228e-07
0.01 H3N2 6-NA-nonsurface-Bhatt NS 3.57946684800953e-06 1.02540953065063e-06
0.01 H3N2 6-NA-nonsurface-Bhatt S 1.16406492699299e-05 3.06562834290436e-06
0.01 H3N2 6-NA-nonsurface-Bhatt Stop 1.06559419786912e-06 7.99207713042616e-07
0.01 H3N2 6-NA-surface-Bhatt NS 1.38571547077783e-05 2.86757636361783e-06
0.01 H3N2 6-NA-surface-Bhatt S 7.13036751756039e-06 1.93219974526677e-06
0.01 H3N2 6-NA-surface-Bhatt Stop 1.21422861874183e-06 1.21422861874183e-06
0.01 H3N2 7-M1 NS 2.99713597506588e-06 8.17084079009931e-07
0.01 H3N2 7-M1 S 1.24550554867883e-05 4.49823124321104e-06
0.01 H3N2 7-M1 Stop 2.46497116006563e-06 1.55480309960174e-06
0.01 H3N2 7-M2 NS 8.78727821781937e-06 3.12415315212455e-06
0.01 H3N2 7-M2 S 4.78781759049987e-06 1.97706260004853e-06
0.01 H3N2 7-M2 Stop 0 0
0.01 H3N2 8-NEP NS 5.00420691082932e-06 1.04326683401176e-06
0.01 H3N2 8-NEP S 1.56032719772362e-05 6.45675780581712e-06
0.01 H3N2 8-NEP Stop 3.23425939399026e-06 1.9607255369131e-06
0.01 H3N2 8-NS1 NS 6.28689558284172e-06 1.37284044578388e-06
0.01 H3N2 8-NS1 S 1.26511996991601e-05 4.09120535421267e-06
0.01 H3N2 8-NS1 Stop 8.63083867328149e-07 8.63083867328151e-07
0.02 H3N2 1-PB2 NS 4.26596987698058e-06 7.42524669839138e-07
0.02 H3N2 1-PB2 S 1.45982389066194e-05 2.58507676801666e-06
0.02 H3N2 1-PB2 Stop 0 0
0.02 H3N2 2-PB1 NS 3.57965107771251e-06 7.86912413461387e-07
0.02 H3N2 2-PB1 S 1.25831271931957e-05 2.74584829526551e-06
0.02 H3N2 2-PB1 Stop 0 0
0.02 H3N2 3-PA NS 3.69689192134236e-06 6.36703161905549e-07
0.02 H3N2 3-PA S 1.39141682808383e-05 2.98352614153557e-06
0.02 H3N2 3-PA Stop 1.74162368376088e-06 1.41837229525629e-06
0.02 H3N2 4-HA NS 5.93077254606368e-06 9.54150426709493e-07
0.02 H3N2 4-HA S 1.16005729672487e-05 2.15227874007665e-06
0.02 H3N2 4-HA Stop 1.10858809223944e-06 1.10858809223944e-06
0.02 H3N2 4-HA-antigenic-Wiley NS 5.10056231390698e-06 2.52488001187088e-06
0.02 H3N2 4-HA-antigenic-Wiley S 1.18248586643264e-05 7.44965911590163e-06
0.02 H3N2 4-HA-antigenic-Wiley Stop 0 0
0.02 H3N2 4-HA-antigenic-Wolf NS 6.8478644251253e-06 1.81307454739888e-06
0.02 H3N2 4-HA-antigenic-Wolf S 1.28705990745401e-05 4.84732517297439e-06
0.02 H3N2 4-HA-antigenic-Wolf Stop 0 0
0.02 H3N2 4-HA-nonantigenic-Wiley NS 5.9771530059607e-06 1.00056304519739e-06
0.02 H3N2 4-HA-nonantigenic-Wiley S 1.15880430400377e-05 2.24276247896265e-06
0.02 H3N2 4-HA-nonantigenic-Wiley Stop 1.17052038789528e-06 1.17052038789527e-06
0.02 H3N2 4-HA-nonantigenic-Wolf NS 5.66067014332635e-06 1.08381737664549e-06
0.02 H3N2 4-HA-nonantigenic-Wolf S 1.12265241822246e-05 2.38535553321336e-06
0.02 H3N2 4-HA-nonantigenic-Wolf Stop 1.43509006461133e-06 1.43509006461134e-06
0.02 H3N2 5-NP NS 3.54716776264853e-06 9.09480300266315e-07
0.02 H3N2 5-NP S 1.00995262102499e-05 2.20328814726394e-06
0.02 H3N2 5-NP Stop 0 0
0.02 H3N2 6-NA NS 7.39903727539553e-06 1.65433134259018e-06
0.02 H3N2 6-NA S 8.01571507032853e-06 1.81977131916464e-06
0.02 H3N2 6-NA Stop 9.57537816737331e-07 6.90403060487055e-07
0.02 H3N2 6-NA-nonsurface-Bhatt NS 2.76574579732712e-06 1.00614022574833e-06
0.02 H3N2 6-NA-nonsurface-Bhatt S 1.03436539164294e-05 3.00972658283525e-06
0.02 H3N2 6-NA-nonsurface-Bhatt Stop 7.23803102716971e-07 7.23803102716965e-07
0.02 H3N2 6-NA-surface-Bhatt NS 1.24873841664885e-05 2.84137563004431e-06
0.02 H3N2 6-NA-surface-Bhatt S 5.45913937327133e-06 1.87971748917441e-06
0.02 H3N2 6-NA-surface-Bhatt Stop 1.21422861874183e-06 1.21422861874183e-06
0.02 H3N2 7-M1 NS 2.28597732508692e-06 8.06313541588919e-07
0.02 H3N2 7-M1 S 1.13153938887859e-05 4.48862078762722e-06
0.02 H3N2 7-M1 Stop 2.08198051424214e-06 1.50900956797392e-06
0.02 H3N2 7-M2 NS 7.42462604891996e-06 3.07215106858098e-06
0.02 H3N2 7-M2 S 3.15872637295722e-06 1.91726326425151e-06
0.02 H3N2 7-M2 Stop 0 0
0.02 H3N2 8-NEP NS 3.3866389872664e-06 1.00655248416089e-06
0.02 H3N2 8-NEP S 1.37407107862326e-05 6.44298190411005e-06
0.02 H3N2 8-NEP Stop 2.65428112449399e-06 1.87626896819247e-06
0.02 H3N2 8-NS1 NS 4.7644754445056e-06 1.35036663381655e-06
0.02 H3N2 8-NS1 S 1.05431288841494e-05 4.08151273515269e-06
0.02 H3N2 8-NS1 Stop 8.63083867328149e-07 8.63083867328151e-07
