MinFreq Subtype Gene Syn MeanDivPerSitePerDay SEDivPerSitePerDay Type Scale
0.005 H3N2 4-HA-nonantigenic-Wiley S 1.9227875325194e-05 4.80061076737194e-06 flu-Debbink-0.005 acute
0.005 H3N2 4-HA-nonantigenic-Wiley Stop 5.38287278979786e-06 2.98007896344857e-06 flu-Debbink-0.005 acute
0.005 H3N2 4-HA-nonantigenic-Wolf NS 9.02914804333447e-06 2.1230536309256e-06 flu-Debbink-0.005 acute
0.005 H3N2 4-HA-nonantigenic-Wolf S 2.1321987900556e-05 5.89024923786379e-06 flu-Debbink-0.005 acute
0.005 H3N2 4-HA-nonantigenic-Wolf Stop 6.10934004086448e-06 3.60272504399297e-06 flu-Debbink-0.005 acute
0.005 H3N2 5-NP NS 9.04923063734402e-06 1.89558615905472e-06 flu-Debbink-0.005 acute
0.005 H3N2 5-NP S 1.60058660950942e-05 2.58401870348494e-06 flu-Debbink-0.005 acute
0.005 H3N2 5-NP Stop 1.08761754201976e-06 7.81759686972186e-07 flu-Debbink-0.005 acute
0.005 H3N2 6-NA NS 1.03092559807621e-05 1.83628083263629e-06 flu-Debbink-0.005 acute
0.005 H3N2 6-NA S 1.28083766407998e-05 2.75411964654541e-06 flu-Debbink-0.005 acute
0.005 H3N2 6-NA Stop 3.96136489203902e-06 1.80004500550817e-06 flu-Debbink-0.005 acute
0.005 H3N2 6-NA-nonsurface-Bhatt NS 5.89925269994183e-06 1.07209127336913e-06 flu-Debbink-0.005 acute
0.005 H3N2 6-NA-nonsurface-Bhatt S 1.50922378627449e-05 4.54227813963785e-06 flu-Debbink-0.005 acute
0.005 H3N2 6-NA-nonsurface-Bhatt Stop 4.28413992260472e-06 2.15239795557537e-06 flu-Debbink-0.005 acute
0.005 H3N2 6-NA-surface-Bhatt NS 1.51523845838058e-05 3.31392729129927e-06 flu-Debbink-0.005 acute
0.005 H3N2 6-NA-surface-Bhatt S 1.03002076202708e-05 2.15490167556289e-06 flu-Debbink-0.005 acute
0.005 H3N2 6-NA-surface-Bhatt Stop 3.60688874239989e-06 3.00113586816027e-06 flu-Debbink-0.005 acute
0.005 H3N2 7-M1 NS 4.12720872363495e-06 7.52603556904619e-07 flu-Debbink-0.005 acute
0.005 H3N2 7-M1 S 1.32746460042164e-05 4.71555756658554e-06 flu-Debbink-0.005 acute
0.005 H3N2 7-M1 Stop 7.1674861574414e-06 3.82690750006433e-06 flu-Debbink-0.005 acute
0.005 H3N2 7-M2 NS 1.29501176820782e-05 5.28634012029648e-06 flu-Debbink-0.005 acute
0.005 H3N2 7-M2 S 7.40117520174067e-06 1.65101850012685e-06 flu-Debbink-0.005 acute
0.005 H3N2 7-M2 Stop 0 0 flu-Debbink-0.005 acute
0.005 H3N2 8-NEP NS 9.20299768397756e-06 2.00400382959683e-06 flu-Debbink-0.005 acute
0.005 H3N2 8-NEP S 1.81932353661195e-05 7.68642226407123e-06 flu-Debbink-0.005 acute
0.005 H3N2 8-NEP Stop 9.00769871445906e-06 4.76532639171628e-06 flu-Debbink-0.005 acute
0.005 H3N2 8-NS1 NS 8.84888624705682e-06 1.58186811894507e-06 flu-Debbink-0.005 acute
0.005 H3N2 8-NS1 S 1.50303660161206e-05 3.94034328435836e-06 flu-Debbink-0.005 acute
0.005 H3N2 8-NS1 Stop 2.72445312520726e-06 2.1735831971523e-06 flu-Debbink-0.005 acute
0.005 H3N2 4-HA NS 1.3512945568939e-05 2.5007170772737e-06 flu-Dinis-0.005 acute
0.005 H3N2 4-HA S 2.60180944032873e-05 5.47951402472438e-06 flu-Dinis-0.005 acute
0.005 H3N2 4-HA Stop 3.18821133439201e-06 2.67210957948277e-06 flu-Dinis-0.005 acute
0.005 H3N2 4-HA-antigenic-Wiley NS 1.12983199525382e-05 4.06311836833223e-06 flu-Dinis-0.005 acute
0.005 H3N2 4-HA-antigenic-Wiley S 5.18509279851886e-05 3.75203187986406e-05 flu-Dinis-0.005 acute
0.005 H3N2 4-HA-antigenic-Wiley Stop 0 0 flu-Dinis-0.005 acute
0.005 H3N2 4-HA-antigenic-Wolf NS 2.20611791446489e-05 7.94975343360169e-06 flu-Dinis-0.005 acute
0.005 H3N2 4-HA-antigenic-Wolf S 2.89217700951575e-05 1.03447760637857e-05 flu-Dinis-0.005 acute
0.005 H3N2 4-HA-antigenic-Wolf Stop 2.49109999583869e-06 2.49109999583869e-06 flu-Dinis-0.005 acute
0.005 H3N2 4-HA-nonantigenic-Wiley NS 1.36366676704139e-05 2.63928428555884e-06 flu-Dinis-0.005 acute
0.005 H3N2 4-HA-nonantigenic-Wiley S 2.45749193428459e-05 5.436940515994e-06 flu-Dinis-0.005 acute
0.005 H3N2 4-HA-nonantigenic-Wiley Stop 3.36632369944184e-06 2.82138944425835e-06 flu-Dinis-0.005 acute
0.005 H3N2 4-HA-nonantigenic-Wolf NS 1.09953151322573e-05 1.90253767461664e-06 flu-Dinis-0.005 acute
0.005 H3N2 4-HA-nonantigenic-Wolf S 2.51629022474625e-05 6.14093611044537e-06 flu-Dinis-0.005 acute
0.005 H3N2 4-HA-nonantigenic-Wolf Stop 3.39352494780155e-06 3.39352494780155e-06 flu-Dinis-0.005 acute
0.005 H3N2 1-PB2 NS 5.58386086554279e-06 1.13907398487326e-06 flu-McCrone-0.005 acute
0.005 H3N2 1-PB2 S 1.63066996684691e-05 3.77729401674778e-06 flu-McCrone-0.005 acute
0.005 H3N2 1-PB2 Stop 0 0 flu-McCrone-0.005 acute
0.005 H3N2 2-PB1 NS 4.35146413447464e-06 1.16648576320111e-06 flu-McCrone-0.005 acute
0.005 H3N2 2-PB1 S 1.67886435602337e-05 4.23694219244069e-06 flu-McCrone-0.005 acute
0.005 H3N2 2-PB1 Stop 1.98103807135426e-07 1.98103807135426e-07 flu-McCrone-0.005 acute
0.005 H3N2 3-PA NS 5.83863745511741e-06 8.07259151434795e-07 flu-McCrone-0.005 acute
0.005 H3N2 3-PA S 1.78869978287087e-05 4.75052627494686e-06 flu-McCrone-0.005 acute
0.005 H3N2 3-PA Stop 2.76682621247358e-06 2.35715918186314e-06 flu-McCrone-0.005 acute
0.005 H3N2 4-HA NS 5.99816794727208e-06 1.29846773530815e-06 flu-McCrone-0.005 acute
0.005 H3N2 4-HA S 9.81622126550805e-06 2.42202506242856e-06 flu-McCrone-0.005 acute
0.005 H3N2 4-HA Stop 0 0 flu-McCrone-0.005 acute
0.005 H3N2 4-HA-antigenic-Wiley NS 8.67998194372097e-06 5.12488239658589e-06 flu-McCrone-0.005 acute
0.005 H3N2 4-HA-antigenic-Wiley S 1.30381376172514e-06 1.05256266924492e-06 flu-McCrone-0.005 acute
0.005 H3N2 4-HA-antigenic-Wiley Stop 0 0 flu-McCrone-0.005 acute
0.005 H3N2 4-HA-antigenic-Wolf NS 6.49474897451493e-06 2.12443320080447e-06 flu-McCrone-0.005 acute
0.005 H3N2 4-HA-antigenic-Wolf S 1.6587823879542e-05 9.19439054166492e-06 flu-McCrone-0.005 acute
0.005 H3N2 4-HA-antigenic-Wolf Stop 0 0 flu-McCrone-0.005 acute
0.005 H3N2 4-HA-nonantigenic-Wiley NS 5.84834593629727e-06 1.35518996651682e-06 flu-McCrone-0.005 acute
0.005 H3N2 4-HA-nonantigenic-Wiley S 1.02917747573395e-05 2.55849191562273e-06 flu-McCrone-0.005 acute
0.005 H3N2 4-HA-nonantigenic-Wiley Stop 0 0 flu-McCrone-0.005 acute
0.005 H3N2 4-HA-nonantigenic-Wolf NS 5.85191463102931e-06 1.57144056678182e-06 flu-McCrone-0.005 acute
0.005 H3N2 4-HA-nonantigenic-Wolf S 7.82184515315557e-06 1.42891961104608e-06 flu-McCrone-0.005 acute
0.005 H3N2 4-HA-nonantigenic-Wolf Stop 0 0 flu-McCrone-0.005 acute
0.005 H3N2 5-NP NS 3.18258640855861e-06 8.05882103947985e-07 flu-McCrone-0.005 acute
0.005 H3N2 5-NP S 1.49000290919502e-05 3.34903408295432e-06 flu-McCrone-0.005 acute
0.005 H3N2 5-NP Stop 0 0 flu-McCrone-0.005 acute
0.005 H3N2 6-NA NS 8.89745056571548e-06 2.57647467573269e-06 flu-McCrone-0.005 acute
0.005 H3N2 6-NA S 9.80604426365432e-06 2.55102476368868e-06 flu-McCrone-0.005 acute
0.005 H3N2 6-NA Stop 2.8523895491054e-07 2.8523895491054e-07 flu-McCrone-0.005 acute
0.005 H3N2 6-NA-nonsurface-Bhatt NS 3.37293584060316e-06 1.60826116561751e-06 flu-McCrone-0.005 acute
0.005 H3N2 6-NA-nonsurface-Bhatt S 1.22267878495504e-05 4.16282921397171e-06 flu-McCrone-0.005 acute
0.005 H3N2 6-NA-nonsurface-Bhatt Stop 5.4496873499168e-07 5.4496873499168e-07 flu-McCrone-0.005 acute
0.005 H3N2 6-NA-surface-Bhatt NS 1.49645515584728e-05 4.32963362912486e-06 flu-McCrone-0.005 acute
0.005 H3N2 6-NA-surface-Bhatt S 7.14754907557204e-06 2.95915433631135e-06 flu-McCrone-0.005 acute
0.005 H3N2 6-NA-surface-Bhatt Stop 0 0 flu-McCrone-0.005 acute
0.005 H3N2 7-M1 NS 3.86784266922269e-06 1.3290838679398e-06 flu-McCrone-0.005 acute
0.005 H3N2 7-M1 S 1.55263890591419e-05 7.03264590854544e-06 flu-McCrone-0.005 acute
0.005 H3N2 7-M1 Stop 0 0 flu-McCrone-0.005 acute
0.005 H3N2 7-M2 NS 7.67143113818377e-06 3.90184978341197e-06 flu-McCrone-0.005 acute
0.005 H3N2 7-M2 S 6.42635714372499e-06 3.26460030512174e-06 flu-McCrone-0.005 acute
0.005 H3N2 7-M2 Stop 0 0 flu-McCrone-0.005 acute
0.005 H3N2 8-NEP NS 4.45796985792285e-06 1.12695987813319e-06 flu-McCrone-0.005 acute
0.005 H3N2 8-NEP S 1.86270934042396e-05 9.66861954931596e-06 flu-McCrone-0.005 acute
0.005 H3N2 8-NEP Stop 0 0 flu-McCrone-0.005 acute
0.005 H3N2 8-NS1 NS 7.59236060657454e-06 2.15477369120324e-06 flu-McCrone-0.005 acute
0.005 H3N2 8-NS1 S 1.53821691873619e-05 6.43289032024018e-06 flu-McCrone-0.005 acute
0.005 H3N2 8-NS1 Stop 8.67784515665575e-07 8.67784515665574e-07 flu-McCrone-0.005 acute
0.01 H3N2 1-PB2 NS 6.38880960456857e-06 9.14741928719222e-07 flu-Debbink-0.01 acute
0.01 H3N2 1-PB2 S 1.86370676507644e-05 3.40992364836071e-06 flu-Debbink-0.01 acute
0.01 H3N2 1-PB2 Stop 5.81983774803512e-07 4.1047066091393e-07 flu-Debbink-0.01 acute
0.01 H3N2 2-PB1 NS 5.02468252151809e-06 1.04033844617456e-06 flu-Debbink-0.01 acute
0.01 H3N2 2-PB1 S 1.38339296404083e-05 2.89164849402394e-06 flu-Debbink-0.01 acute
0.01 H3N2 2-PB1 Stop 0 0 flu-Debbink-0.01 acute
0.01 H3N2 3-PA NS 5.49887792130989e-06 1.14863077834421e-06 flu-Debbink-0.01 acute
0.01 H3N2 3-PA S 1.44374971515041e-05 2.59605890014958e-06 flu-Debbink-0.01 acute
0.01 H3N2 3-PA Stop 2.08843103428033e-06 1.12847080416215e-06 flu-Debbink-0.01 acute
0.01 H3N2 4-HA NS 6.93862538027734e-06 1.66850132335822e-06 flu-Debbink-0.01 acute
0.01 H3N2 4-HA S 1.61398115960019e-05 4.53460470355921e-06 flu-Debbink-0.01 acute
0.01 H3N2 4-HA Stop 3.46276236375458e-06 2.7257214594636e-06 flu-Debbink-0.01 acute
0.01 H3N2 4-HA-antigenic-Wiley NS 1.57503560540608e-06 1.00063689750375e-06 flu-Debbink-0.01 acute
0.01 H3N2 4-HA-antigenic-Wiley S 1.06874243939845e-05 1.06874243939845e-05 flu-Debbink-0.01 acute
0.01 H3N2 4-HA-antigenic-Wiley Stop 0 0 flu-Debbink-0.01 acute
0.01 H3N2 4-HA-antigenic-Wolf NS 4.89806749574334e-06 1.38040552380896e-06 flu-Debbink-0.01 acute
0.01 H3N2 4-HA-antigenic-Wolf S 7.05657310987354e-06 2.8698880852709e-06 flu-Debbink-0.01 acute
0.01 H3N2 4-HA-antigenic-Wolf Stop 0 0 flu-Debbink-0.01 acute
0.01 H3N2 4-HA-nonantigenic-Wiley NS 7.23826726714165e-06 1.76388818970944e-06 flu-Debbink-0.01 acute
0.01 H3N2 4-HA-nonantigenic-Wiley S 1.64444142329861e-05 4.77058497781988e-06 flu-Debbink-0.01 acute
0.01 H3N2 4-HA-nonantigenic-Wiley Stop 3.65621277513752e-06 2.87799640133306e-06 flu-Debbink-0.01 acute
0.01 H3N2 4-HA-nonantigenic-Wolf NS 7.5396116065442e-06 2.11224521092001e-06 flu-Debbink-0.01 acute
0.01 H3N2 4-HA-nonantigenic-Wolf S 1.88150119720534e-05 5.85935286097535e-06 flu-Debbink-0.01 acute
0.01 H3N2 4-HA-nonantigenic-Wolf Stop 4.48261703253162e-06 3.5285024372508e-06 flu-Debbink-0.01 acute
0.01 H3N2 5-NP NS 7.24032098841339e-06 1.87609822946199e-06 flu-Debbink-0.01 acute
0.01 H3N2 5-NP S 1.28625383732222e-05 2.50964887817714e-06 flu-Debbink-0.01 acute
0.01 H3N2 5-NP Stop 1.08761754201976e-06 7.81759686972186e-07 flu-Debbink-0.01 acute
0.01 H3N2 6-NA NS 8.77066735370707e-06 1.74736344174523e-06 flu-Debbink-0.01 acute
0.01 H3N2 6-NA S 1.00954985650653e-05 2.70947327268761e-06 flu-Debbink-0.01 acute
0.01 H3N2 6-NA Stop 2.74273668579721e-06 1.71139864236215e-06 flu-Debbink-0.01 acute
0.01 H3N2 6-NA-nonsurface-Bhatt NS 4.41277518597076e-06 9.83768749736186e-07 flu-Debbink-0.01 acute
0.01 H3N2 6-NA-nonsurface-Bhatt S 1.20704610542775e-05 4.51438033495663e-06 flu-Debbink-0.01 acute
0.01 H3N2 6-NA-nonsurface-Bhatt Stop 2.5717706121649e-06 1.9245875185837e-06 flu-Debbink-0.01 acute
0.01 H3N2 6-NA-surface-Bhatt NS 1.35565667879175e-05 3.22849367443433e-06 flu-Debbink-0.01 acute
0.01 H3N2 6-NA-surface-Bhatt S 7.92656654566261e-06 2.08398960746298e-06 flu-Debbink-0.01 acute
0.01 H3N2 6-NA-surface-Bhatt Stop 2.93049407023269e-06 2.9304940702327e-06 flu-Debbink-0.01 acute
0.01 H3N2 7-M1 NS 2.44249156873265e-06 6.77331612746676e-07 flu-Debbink-0.01 acute
0.01 H3N2 7-M1 S 9.42243108208302e-06 4.68296703187688e-06 flu-Debbink-0.01 acute
0.01 H3N2 7-M1 Stop 5.94911308823532e-06 3.73627660590386e-06 flu-Debbink-0.01 acute
0.01 H3N2 7-M2 NS 1.10230807242973e-05 5.15416755543236e-06 flu-Debbink-0.01 acute
0.01 H3N2 7-M2 S 3.69928385991048e-06 1.28879033791529e-06 flu-Debbink-0.01 acute
0.01 H3N2 7-M2 Stop 0 0 flu-Debbink-0.01 acute
0.01 H3N2 8-NEP NS 7.79424543695959e-06 1.97042979677301e-06 flu-Debbink-0.01 acute
0.01 H3N2 8-NEP S 1.59355361796438e-05 7.65938295496194e-06 flu-Debbink-0.01 acute
0.01 H3N2 8-NEP Stop 7.80576065280342e-06 4.70892642190046e-06 flu-Debbink-0.01 acute
0.01 H3N2 8-NS1 NS 6.84615135277586e-06 1.54686222878358e-06 flu-Debbink-0.01 acute
0.01 H3N2 8-NS1 S 1.25078936242269e-05 3.9090750457938e-06 flu-Debbink-0.01 acute
0.01 H3N2 8-NS1 Stop 2.08301971826313e-06 2.08301971826313e-06 flu-Debbink-0.01 acute
0.01 H3N2 4-HA NS 1.1473338164001e-05 2.51373667858135e-06 flu-Dinis-0.01 acute
0.01 H3N2 4-HA S 2.25583864843909e-05 5.41869578475331e-06 flu-Dinis-0.01 acute
0.01 H3N2 4-HA Stop 2.62145313428056e-06 2.62145313428056e-06 flu-Dinis-0.01 acute
0.01 H3N2 4-HA-antigenic-Wiley NS 9.32120258409037e-06 3.98007779828364e-06 flu-Dinis-0.01 acute
0.01 H3N2 4-HA-antigenic-Wiley S 5.08173089271288e-05 3.75310787700534e-05 flu-Dinis-0.01 acute
0.01 H3N2 4-HA-antigenic-Wiley Stop 0 0 flu-Dinis-0.01 acute
0.01 H3N2 4-HA-antigenic-Wolf NS 1.95710759568741e-05 7.96964566029644e-06 flu-Dinis-0.01 acute
0.01 H3N2 4-HA-antigenic-Wolf S 2.64618648829527e-05 1.03192583510795e-05 flu-Dinis-0.01 acute
0.01 H3N2 4-HA-antigenic-Wolf Stop 0 0 flu-Dinis-0.01 acute
0.01 H3N2 4-HA-nonantigenic-Wiley NS 1.15935692019849e-05 2.65241168270546e-06 flu-Dinis-0.01 acute
0.01 H3N2 4-HA-nonantigenic-Wiley S 2.09796757334e-05 5.37277744816328e-06 flu-Dinis-0.01 acute
0.01 H3N2 4-HA-nonantigenic-Wiley Stop 2.76790303005043e-06 2.76790303005043e-06 flu-Dinis-0.01 acute
0.01 H3N2 4-HA-nonantigenic-Wolf NS 9.08838799212748e-06 1.87003902750318e-06 flu-Dinis-0.01 acute
0.01 H3N2 4-HA-nonantigenic-Wolf S 2.14087318875542e-05 6.10769237768075e-06 flu-Dinis-0.01 acute
0.01 H3N2 4-HA-nonantigenic-Wolf Stop 3.39352494780155e-06 3.39352494780155e-06 flu-Dinis-0.01 acute
0.01 H3N2 1-PB2 NS 4.51524075714948e-06 1.13544131232916e-06 flu-McCrone-0.01 acute
0.01 H3N2 1-PB2 S 1.48428136050469e-05 3.736596889555e-06 flu-McCrone-0.01 acute
0.01 H3N2 1-PB2 Stop 0 0 flu-McCrone-0.01 acute
0.01 H3N2 2-PB1 NS 3.81726217237895e-06 1.15687259428943e-06 flu-McCrone-0.01 acute
0.01 H3N2 2-PB1 S 1.50482855057029e-05 4.22104681361831e-06 flu-McCrone-0.01 acute
0.01 H3N2 2-PB1 Stop 0 0 flu-McCrone-0.01 acute
0.01 H3N2 3-PA NS 4.54286620684845e-06 7.8624770819339e-07 flu-McCrone-0.01 acute
0.01 H3N2 3-PA S 1.67476503234363e-05 4.74602950627065e-06 flu-McCrone-0.01 acute
0.01 H3N2 3-PA Stop 2.33997433790325e-06 2.33997433790325e-06 flu-McCrone-0.01 acute
0.01 H3N2 4-HA NS 5.50592565660101e-06 1.30401607124942e-06 flu-McCrone-0.01 acute
0.01 H3N2 4-HA S 8.63196792998017e-06 2.40023317161665e-06 flu-McCrone-0.01 acute
0.01 H3N2 4-HA Stop 0 0 flu-McCrone-0.01 acute
0.01 H3N2 4-HA-antigenic-Wiley NS 7.86536121306631e-06 5.09933013187779e-06 flu-McCrone-0.01 acute
0.01 H3N2 4-HA-antigenic-Wiley S 1.01381191515515e-06 1.01381191515516e-06 flu-McCrone-0.01 acute
0.01 H3N2 4-HA-antigenic-Wiley Stop 0 0 flu-McCrone-0.01 acute
0.01 H3N2 4-HA-antigenic-Wolf NS 6.03913836666554e-06 2.11023110430658e-06 flu-McCrone-0.01 acute
0.01 H3N2 4-HA-antigenic-Wolf S 1.58642480366163e-05 9.19672808352798e-06 flu-McCrone-0.01 acute
0.01 H3N2 4-HA-antigenic-Wolf Stop 0 0 flu-McCrone-0.01 acute
0.01 H3N2 4-HA-nonantigenic-Wiley NS 5.37411361434037e-06 1.35902633814231e-06 flu-McCrone-0.01 acute
0.01 H3N2 4-HA-nonantigenic-Wiley S 9.05756323807095e-06 2.53507786402691e-06 flu-McCrone-0.01 acute
0.01 H3N2 4-HA-nonantigenic-Wiley Stop 0 0 flu-McCrone-0.01 acute
0.01 H3N2 4-HA-nonantigenic-Wolf NS 5.34888355706145e-06 1.57500949466251e-06 flu-McCrone-0.01 acute
0.01 H3N2 4-HA-nonantigenic-Wolf S 6.50191283008048e-06 1.39010406523116e-06 flu-McCrone-0.01 acute
0.01 H3N2 4-HA-nonantigenic-Wolf Stop 0 0 flu-McCrone-0.01 acute
0.01 H3N2 5-NP NS 2.54826601413666e-06 7.97785932439998e-07 flu-McCrone-0.01 acute
0.01 H3N2 5-NP S 1.27168663801188e-05 3.33514293491121e-06 flu-McCrone-0.01 acute
0.01 H3N2 5-NP Stop 0 0 flu-McCrone-0.01 acute
0.01 H3N2 6-NA NS 8.27054864724449e-06 2.5829817078118e-06 flu-McCrone-0.01 acute
0.01 H3N2 6-NA S 9.06344396103657e-06 2.55459931500706e-06 flu-McCrone-0.01 acute
0.01 H3N2 6-NA Stop 0 0 flu-McCrone-0.01 acute
0.01 H3N2 6-NA-nonsurface-Bhatt NS 2.98991537081247e-06 1.60793472767452e-06 flu-McCrone-0.01 acute
0.01 H3N2 6-NA-nonsurface-Bhatt S 1.13365647422282e-05 4.15987205022218e-06 flu-McCrone-0.01 acute
0.01 H3N2 6-NA-nonsurface-Bhatt Stop 0 0 flu-McCrone-0.01 acute
0.01 H3N2 6-NA-surface-Bhatt NS 1.40698155490404e-05 4.34039818892353e-06 flu-McCrone-0.01 acute
0.01 H3N2 6-NA-surface-Bhatt S 6.56707024597786e-06 2.9568044323471e-06 flu-McCrone-0.01 acute
0.01 H3N2 6-NA-surface-Bhatt Stop 0 0 flu-McCrone-0.01 acute
0.01 H3N2 7-M1 NS 3.38953745981864e-06 1.31166278177989e-06 flu-McCrone-0.01 acute
0.01 H3N2 7-M1 S 1.46005856778722e-05 6.93816138824878e-06 flu-McCrone-0.01 acute
0.01 H3N2 7-M1 Stop 0 0 flu-McCrone-0.01 acute
0.01 H3N2 7-M2 NS 7.20548596833837e-06 3.90338652616877e-06 flu-McCrone-0.01 acute
0.01 H3N2 7-M2 S 5.55793669241346e-06 3.25415864744367e-06 flu-McCrone-0.01 acute
0.01 H3N2 7-M2 Stop 0 0 flu-McCrone-0.01 acute
0.01 H3N2 8-NEP NS 3.03030210322696e-06 1.08627010308969e-06 flu-McCrone-0.01 acute
0.01 H3N2 8-NEP S 1.53682007047846e-05 9.62336737277125e-06 flu-McCrone-0.01 acute
0.01 H3N2 8-NEP Stop 0 0 flu-McCrone-0.01 acute
0.01 H3N2 8-NS1 NS 5.89123163676587e-06 2.07690779301831e-06 flu-McCrone-0.01 acute
0.01 H3N2 8-NS1 S 1.27525863099972e-05 6.42735643607003e-06 flu-McCrone-0.01 acute
0.01 H3N2 8-NS1 Stop 0 0 flu-McCrone-0.01 acute
0.02 H3N2 1-PB2 NS 5.11464781887171e-06 7.94243129556982e-07 flu-Debbink-0.02 acute
0.02 H3N2 1-PB2 S 1.57318725305589e-05 3.35522516818635e-06 flu-Debbink-0.02 acute
0.02 H3N2 1-PB2 Stop 0 0 flu-Debbink-0.02 acute
0.02 H3N2 2-PB1 NS 3.7393357528367e-06 9.96137099476994e-07 flu-Debbink-0.02 acute
0.02 H3N2 2-PB1 S 1.09103207839636e-05 2.89061660441204e-06 flu-Debbink-0.02 acute
0.02 H3N2 2-PB1 Stop 0 0 flu-Debbink-0.02 acute
0.02 H3N2 3-PA NS 4.08256163716828e-06 1.09678167337064e-06 flu-Debbink-0.02 acute
0.02 H3N2 3-PA S 1.16835047309698e-05 2.58089246002575e-06 flu-Debbink-0.02 acute
0.02 H3N2 3-PA Stop 8.95878047617334e-07 8.95878047617331e-07 flu-Debbink-0.02 acute
0.02 H3N2 4-HA NS 5.51767255785663e-06 1.65288764366237e-06 flu-Debbink-0.02 acute
0.02 H3N2 4-HA S 1.38632469821262e-05 4.52766374616214e-06 flu-Debbink-0.02 acute
0.02 H3N2 4-HA Stop 2.67553472261635e-06 2.67553472261634e-06 flu-Debbink-0.02 acute
0.02 H3N2 4-HA-antigenic-Wiley NS 8.78230324232027e-07 8.78230324232027e-07 flu-Debbink-0.02 acute
0.02 H3N2 4-HA-antigenic-Wiley S 1.06874243939845e-05 1.06874243939845e-05 flu-Debbink-0.02 acute
0.02 H3N2 4-HA-antigenic-Wiley Stop 0 0 flu-Debbink-0.02 acute
0.02 H3N2 4-HA-antigenic-Wolf NS 3.48518569721765e-06 1.24873365171549e-06 flu-Debbink-0.02 acute
0.02 H3N2 4-HA-antigenic-Wolf S 4.72372558851693e-06 2.80138319731016e-06 flu-Debbink-0.02 acute
0.02 H3N2 4-HA-antigenic-Wolf Stop 0 0 flu-Debbink-0.02 acute
0.02 H3N2 4-HA-nonantigenic-Wiley NS 5.7768592748189e-06 1.74611459213136e-06 flu-Debbink-0.02 acute
0.02 H3N2 4-HA-nonantigenic-Wiley S 1.40406672384469e-05 4.76030336703444e-06 flu-Debbink-0.02 acute
0.02 H3N2 4-HA-nonantigenic-Wiley Stop 2.82500593617033e-06 2.82500593617033e-06 flu-Debbink-0.02 acute
0.02 H3N2 4-HA-nonantigenic-Wolf NS 6.11628170174346e-06 2.11425032281705e-06 flu-Debbink-0.02 acute
0.02 H3N2 4-HA-nonantigenic-Wolf S 1.65550238309289e-05 5.84119960993778e-06 flu-Debbink-0.02 acute
0.02 H3N2 4-HA-nonantigenic-Wolf Stop 3.46353467516773e-06 3.46353467516773e-06 flu-Debbink-0.02 acute
0.02 H3N2 5-NP NS 5.66832850520612e-06 1.87920302296394e-06 flu-Debbink-0.02 acute
0.02 H3N2 5-NP S 9.46905940211249e-06 2.50033870808075e-06 flu-Debbink-0.02 acute
0.02 H3N2 5-NP Stop 0 0 flu-Debbink-0.02 acute
0.02 H3N2 6-NA NS 7.0075386054882e-06 1.61030435166261e-06 flu-Debbink-0.02 acute
0.02 H3N2 6-NA S 8.38931058909407e-06 2.57645064239091e-06 flu-Debbink-0.02 acute
