Gene Syn Interval MeanDivPerSitePerYear SEDivPerSitePerYear MeanDivPerSitePerDay SEDivPerSitePerDay
4-HA NS 1988 0.000870828890345014 4.37629142250753e-05 2.38583257628771e-06 1.19898395137193e-07
4-HA NS 1998 0.000899976689655598 2.43853773900138e-05 2.46568956070027e-06 6.68092531233255e-08
4-HA NS 2008 0.00112958370135781 2.08836358777868e-05 3.09474986673372e-06 5.72154407610596e-08
4-HA S 1968 0.00768005129819471 0.00034063101002094 2.10412364334102e-05 9.33235643892985e-07
4-HA S 1978 0.00572948765984865 0.000364077678759924 1.56972264653388e-05 9.97473092492944e-07
4-HA S 1988 0.00552780650562914 0.000170742118983629 1.5144675357888e-05 4.67786627352408e-07
4-HA S 1998 0.00650941942374543 9.832990816376e-05 1.78340258184806e-05 2.69397008667836e-07
4-HA S 2008 0.000973224200678525 9.55813725930239e-05 2.66636767309185e-06 2.61866774227463e-07
4-HA-antigenic-Wolf NS 1968 0.0110704579812835 0.000353308227823189 3.03300218665301e-05 9.67967747460793e-07
4-HA-antigenic-Wolf NS 1978 0.00413257215037 0.000259783217716651 1.13221154804658e-05 7.11734843059319e-07
4-HA-antigenic-Wolf NS 1988 0.00232235428500874 0.000153516813900365 6.362614479476e-06 4.20594010685933e-07
4-HA-antigenic-Wolf NS 1998 0.000875045913686664 7.97674997170265e-05 2.39738606489497e-06 2.18541095115141e-07
4-HA-antigenic-Wolf NS 2008 0.00340163055086041 7.11589420682597e-05 9.31953575578193e-06 1.94956005666465e-07
4-HA-antigenic-Wolf S 1968 0.00963510374230833 0.000737592670857938 2.63975444994749e-05 2.02080183796695e-06
4-HA-antigenic-Wolf S 1978 0.00549171901600126 0.000569702391235268 1.50458055232911e-05 1.56082846913772e-06
4-HA-antigenic-Wolf S 1988 0.00730549086994775 0.000384330647403185 2.00150434793089e-05 1.05296067781695e-06
4-HA-antigenic-Wolf S 1998 -0.000737805219829038 0.000157413258789135 -2.02138416391517e-06 4.31269202162014e-07
4-HA-antigenic-Wolf S 2008 -0.00220842913084642 0.000202375052765682 -6.05049076944225e-06 5.54452199358032e-07
4-HA-nonantigenic-Wolf NS 1968 0.000718296532755375 5.89791928344962e-05 1.96793570617911e-06 1.61586829683551e-07
4-HA-nonantigenic-Wolf NS 1978 0.000346462362755315 4.48085502422428e-05 9.49211952754287e-07 1.2276315134861e-07
4-HA-nonantigenic-Wolf NS 1988 0.00042272358558413 2.0719320482819e-05 1.15814680981953e-06 5.67652615967644e-08
4-HA-nonantigenic-Wolf NS 1998 0.000902622915938228 2.33529423901126e-05 2.47293949572117e-06 6.39806640825004e-08
4-HA-nonantigenic-Wolf NS 2008 0.00045744647599352 1.82920110032135e-05 1.2532780164206e-06 5.01150986389412e-08
4-HA-nonantigenic-Wolf S 1968 0.00702640097487798 0.000314646823802405 1.92504136298027e-05 8.62046092609328e-07
4-HA-nonantigenic-Wolf S 1978 0.00607680612320246 0.000433971137227739 1.66487838991848e-05 1.18896201980203e-06
4-HA-nonantigenic-Wolf S 1988 0.00496400889037288 0.000167316118230362 1.3600024357186e-05 4.58400323918801e-07
4-HA-nonantigenic-Wolf S 1998 0.00864355030513184 0.000122404132135198 2.36809597400872e-05 3.35353786671775e-07
4-HA-nonantigenic-Wolf S 2008 0.00189585979055163 8.77142962898759e-05 5.19413641247022e-06 2.40313140520208e-07
5-NP NS 1968 0.000473676000882283 4.70764671348163e-05 1.29774246817064e-06 1.28976622287168e-07
5-NP NS 1978 0.000317553738330489 7.0735714489393e-05 8.7001024200134e-07 1.93796478053132e-07
5-NP NS 1988 0.000636961133429165 3.40516660627901e-05 1.74509899569634e-06 9.3292235788466e-08
5-NP NS 1998 0.000427805215529077 1.44232398344679e-05 1.17206908364131e-06 3.95157255738846e-08
5-NP NS 2008 -7.50461884412438e-05 1.15761289692254e-05 -2.05605995729435e-07 3.17154218334943e-08
5-NP S 1968 0.00552663709910769 0.000281820102419517 1.51414715044046e-05 7.72109869642512e-07
5-NP S 1978 0.00470599658493772 0.000294665974196671 1.28931413285965e-05 8.07304038894989e-07
5-NP S 1988 0.00268440506975295 0.000113897431135925 7.35453443767931e-06 3.1204775653678e-07
5-NP S 1998 0.00454945886270414 8.74692952108735e-05 1.24642708567237e-05 2.39641904687325e-07
5-NP S 2008 0.00247771423646126 7.08109235934859e-05 6.78825818208563e-06 1.94002530393112e-07
6-NA NS 1968 0.00161388704908298 9.04758582277835e-05 4.42160835365199e-06 2.47879063637763e-07
6-NA NS 1978 0.000968880907469029 5.6771494916946e-05 2.65446823964118e-06 1.55538342238208e-07
6-NA NS 1988 0.000966946815569986 3.35326503321341e-05 2.64916935772599e-06 9.18702748825593e-08
6-NA NS 1998 0.00110447336041564 2.77702187669612e-05 3.02595441209764e-06 7.60827911423595e-08
6-NA NS 2008 0.000679032486565344 2.04932145302186e-05 1.86036297689135e-06 5.61457932334755e-08
6-NA S 1968 0.00495474897572758 0.000360093268887548 1.35746547280208e-05 9.86556901061775e-07
6-NA S 1978 0.00648331626129766 0.000229080685586287 1.77625103049251e-05 6.2761831667476e-07
6-NA S 1988 0.00402451451337601 0.000126819683044325 1.10260671599343e-05 3.47451186422809e-07
6-NA S 1998 0.00328966257751364 9.33046471589218e-05 9.01277418496889e-06 2.55629170298416e-07
6-NA S 2008 0.00248720927680113 8.59722060814909e-05 6.81427199123597e-06 2.35540290634222e-07
6-NA-nonsurface-Bhatt NS 1968 0.000336270027424062 6.28733398873168e-05 9.21287746367292e-07 1.72255725718676e-07
6-NA-nonsurface-Bhatt NS 1978 0.00070264933672212 6.02865746403643e-05 1.92506667595101e-06 1.65168697644834e-07
6-NA-nonsurface-Bhatt NS 1988 0.000119031495304348 2.76477250347736e-05 3.26113685765337e-07 7.57471918760921e-08
6-NA-nonsurface-Bhatt NS 1998 0.000801518513818001 3.6297846678864e-05 2.19594113374795e-06 9.94461552845588e-08
6-NA-nonsurface-Bhatt NS 2008 1.69834243412635e-06 1.97456341503741e-05 4.65299297020919e-09 5.40976278092442e-08
6-NA-nonsurface-Bhatt S 1968 0.00373627297369252 0.000500976017653788 1.02363643114864e-05 1.37253703466791e-06
6-NA-nonsurface-Bhatt S 1978 0.00747257937815636 0.000349140380746325 2.0472820214127e-05 9.56548988346097e-07
6-NA-nonsurface-Bhatt S 1988 0.00552926540735769 0.00019920718177578 1.51486723489252e-05 5.45773100755561e-07
6-NA-nonsurface-Bhatt S 1998 0.00442192778192619 0.000165959442568627 1.21148706354142e-05 4.54683404297608e-07
6-NA-nonsurface-Bhatt S 2008 0.0044634745112961 0.0001401594776962 1.22286972912222e-05 3.83998569030686e-07
6-NA-surface-Bhatt NS 1968 0.0030016882102796 0.000171095236576097 8.22380331583452e-06 4.68754072811224e-07
6-NA-surface-Bhatt NS 1978 0.00126126022177144 0.00010056263337734 3.45550745690804e-06 2.75514064047507e-07
6-NA-surface-Bhatt NS 1988 0.00188571865047568 6.67030659825008e-05 5.16635246705664e-06 1.82748125979454e-07
6-NA-surface-Bhatt NS 1998 0.00142590544046319 4.46869830824628e-05 3.90659024784435e-06 1.22430090636884e-07
6-NA-surface-Bhatt NS 2008 0.0014631199343236 3.6822155003601e-05 4.00854776527014e-06 1.00882616448222e-07
6-NA-surface-Bhatt S 1968 0.00629289672796253 0.000525105463336642 1.7240812953322e-05 1.43864510503189e-06
6-NA-surface-Bhatt S 1978 0.0053968933740332 0.000383104332663731 1.47860092439266e-05 1.04960091140748e-06
6-NA-surface-Bhatt S 1988 0.00220135908536397 0.000173892005490035 6.03112078181911e-06 4.76416453397356e-07
6-NA-surface-Bhatt S 1998 0.00206789882152973 0.000131538639185731 5.66547622336912e-06 3.60379833385565e-07
6-NA-surface-Bhatt S 2008 0.000294932846393456 0.000105376076960832 8.08035195598511e-07 2.88701580714608e-07
7-M1 NS 1968 -5.34003241136809e-05 3.78685620702845e-05 -1.46302257845701e-07 1.03749485124067e-07
7-M1 NS 1978 0.000272434282083493 6.05115739370074e-05 7.46395293379433e-07 1.65785134073993e-07
7-M1 NS 1988 0.000685482776087989 5.57168475868029e-05 1.87803500298079e-06 1.5264889749809e-07
7-M1 NS 1998 -0.000338691329437533 7.11483166104554e-05 -9.27921450513789e-07 1.94926894823165e-07
7-M1 NS 2008 6.68918530033413e-05 1.00495476041569e-05 1.83265350694086e-07 2.75330071346765e-08
7-M1 S 1968 0.00520942896802827 0.000282145978023027 1.42724081315843e-05 7.73002679515143e-07
7-M1 S 1978 0.00206524211194941 0.0005317180315263 5.65819756698468e-06 1.45676173020904e-06
7-M1 S 1988 0.00188648414345418 0.000263470768928819 5.16844970809365e-06 7.21837723092655e-07
7-M1 S 1998 0.00715236098341374 0.000405287347371883 1.95955095435993e-05 1.11037629416954e-06
7-M1 S 2008 0.00309516017037393 0.000134258434435033 8.47989087773679e-06 3.67831327219269e-07
8-NS1 NS 1968 0.0026561154115952 0.000147791491425043 7.27702852491835e-06 4.0490819568505e-07
8-NS1 NS 1978 0.00137856335819899 9.10821168636795e-05 3.77688591287394e-06 2.49540046201862e-07
8-NS1 NS 1988 0.000473572904619824 4.14565658770738e-05 1.29746001265705e-06 1.13579632539928e-07
8-NS1 NS 1998 0.000318659654559313 3.20902085636912e-05 8.73040149477569e-07 8.79183796265511e-08
8-NS1 NS 2008 0.00119843834873388 3.16555115508887e-05 3.2833927362572e-06 8.67274289065444e-08
8-NS1 S 1968 0.00366092837732433 0.000328893314707075 1.00299407597927e-05 9.01077574539931e-07
8-NS1 S 1978 0.00361784724048975 0.000484172715229091 9.91191024791712e-06 1.32650058966874e-06
8-NS1 S 1988 0.00199796489040453 0.000158682217747552 5.47387641206722e-06 4.34745802048088e-07
8-NS1 S 1998 -0.000271447594439831 0.00013904039287963 -7.43692039561181e-07 3.80932583231863e-07
8-NS1 S 2008 0.00251765044069702 0.00010044054130427 6.89767244026581e-06 2.75179565217179e-07
